BookID,Title,Author,Topic,UrlLink,Description,Thumbnail,Tags,HaveCount,WantCount,SellCount,AvgRating,RatingCount
126,101 Machine Knit Trims and Edges,Bonnie Triola,Japanese Machines,,"Lots of unique trims and edges with detailed instructions and illustrations. <br>NOTE: This book has been re-worked by Knit it Now and is available in PDF format. New photos and organized by single and double bed.<br><Br> <i class=""fa fa-shopping-cart"" aria-hidden=""true""></i> <a href=""https://www.knititnow.com/store/product/502/machine-knitting-trims-and-edges-double-bed/digitialdownload"">Machine Knitting Trims and Edges - Double Bed</a><br><br> <i class=""fa fa-shopping-cart"" aria-hidden=""true""></i> <a href=""https://www.knititnow.com/store/product/505/machine-knitting-trims-and-edges-single-bed-pdf/digitialdownload"">Machine Knitting Trims and Edges - Single Bed</a>",image38.jpg,Finishing,9,2,4,0.00,0
37,"50 Ways to Love Your Knitter, Mary Anne Oger, ","Oger, Mary Anne",Both Japanese and Passap Machines,http://www.knitwords.com/home.html,"A collection of bands, edges, trims, starts and finishes for all Japanese machines. 29 single bed and 21 double bed treatments, lots of techniques!",50 ways.jpg," Fabric/Surface Design, General Reference, Techniques",6,9,6,5.00,1
101,60 Quick Baby Knits,Cascade Yarns,General Knitting,https://amzn.to/3NmluTL,A book of beautiful baby knits. Simple patterns that are easily convertible to the knitting machine.,image16.jpg,"charting, Finishing, Patterns, Techniques",7,2,3,4.00,1
161,60 Quick Knit baby Essentials,Cascade yarns,Hand Knitting,https://amzn.to/4aWpKWG,"Originally designed for Cascade yarns, specifically their Cherub dk acrylic yarn. Tension for most projects appears to be 20-27 stitches and 30-40 rows to 4"" (10 cms). From sweaters to blankets to onesies and toys, from garter stitch to cables and lace these delightful designs are true essentials for every knitter and baby.  While this book is geared to hand knitters, a lot of the patterns could easily be adapted or converted to use with a mid gauge machine.",60 Quick Knit Baby Essentials.jpg," Fabric/Surface Design, Patterns",5,2,3,5.00,1
36,A Machine Knitter’s Guide to Creating Fabric,"Lewis, Susanna and Julia Weissaman",Both Japanese and Passap Machines,https://amzn.to/3MHSWni,,guide_to_fabric_jpg.jpg," Fabric/Surface Design",18,7,5,4.80,5
34,"A Second Resource Book for Machine Knitters,","Kinder, Kathleen",Both Japanese and Passap Machines,https://amzn.to/3LLCrqu,"There is a first version of this book<br> <a href=""https://www.knititnow.com/books/33/resource-book-for-machine-knitters"">Resource Book for Machine Knitters</a>",second_jpg.jpg," Fabric/Surface Design, General Reference",8,3,5,4.50,2
177,A Treasury of Garter Stitch Patterns,Cater Elaine and Caroline Nelson," ",,,Knitting-Machine-Booklet-For-Brother-Treasury-Of-Garter.webp,Garter Carriage,7,31,2,0.00,0
3,"ABC of Perfect Knitting: Patterns, Pockets, Collars, Hints.  ",1,Passap,1,555,abc.jpg,"charting, General Reference",8,4,7,4.50,2
77,Add a Hood to ANY Knitting Pattern (Digital),"Knit it Now, Sue Jalowiec",Both Japanese and Passap machines,https://www.knititnow.com/store/product/728/add-a-hood-to-any-knitting-pattern/digitialdownload,Adding a hood adds a practical designer touch to any sweater. You don't need to search for a machine knitting pattern with a hood ... create your own! <ul>  <li>8 hood styles</li> <li>Perfect for kids and adults</li> <li>Workbook style fill-in-the blanks format</li> </ul> 36 pages,hood.jpg,NULL,9,7,6,5.00,2
180,"Adventures with Color, book 1 (3 and 4-color jacquard patterns; cut an sew jacket pattern included; 930 DAK disc included)",Griffiths Helen," ",,,adventures-with-color-helen-griffiths.jpg,NULL,5,2,2,0.00,0
