CourseID,Title,Active,CourseCost,LibraryEntries,CreditEntries,SubscriberFreeEntries
1,Using Hand Knitting Patterns for Machine Knitting,1,9.99,1583,147,1436
2,Pencil and Paper Charting 1,0,9.99,69,67,2
3,Modify a Set in Sleeve - the Pencil and Paper way,0,19.99,126,61,65
4,Pencil and Paper Charting 2,0,9.99,39,39,0
5,Bateau (Boat) Neck Basics,0,12.99,142,84,58
6,Need a Plus Size Cardigan?,1,24.95,113,111,2
7,Top Down Raglan Sweaters,0,14.99,798,783,15
8,"Beginner Bootcamp ",1,49.95,474,473,1
9,Quick Fingerless Mittens,0,9.99,9,0,9
10,Set-in Sleeve Practice,1,9.99,7,3,4
11,Mile-a-Minute Hats,0,9.99,4,0,4
12,English Rib Ear Warmer,0,9.99,0,0,0
13,V-Neck Perfection,0,9.99,5,0,5
14,Advanced Beginner Bootcamp,0,75.00,0,0,0
15,Can You Knit Rectangles?,1,9.99,2,1,1
16,Roll 'n Rib Slouchy Hat,0,9.99,2,0,2
17,Vicki's Cardigan,1,29.95,49,49,0
18,Infinity Scarf Made Easy,0,9.99,3,0,3
19,Quickie Baby Blanket,0,9.99,2,0,2
20,Kaleidoscope Shawl,0,9.99,0,0,0
21,Short Row Flowers,0,0.00,1,0,1
22,Boot Toppers (aka leg warmers),1,9.99,2,1,1
23,100 Percent Reversible Scarf,0,12.99,4,1,3
24,Your First Sweater,0,49.95,0,0,0
25,Beginner Ear Warmer,0,9.99,0,0,0
26,Ribber Basic Bootcamp,0,49.95,226,226,0
27,Baby Boy Ear Flap Helmet,0,14.99,24,24,0
28,Jennifer's Favorite Shrug,0,24.95,67,67,0
29,Eyeglass Case,1,9.99,1,0,1
30,Magic Racked Scarf,0,9.99,4,0,4
31,Shortrow Pinwheel Pillow,0,9.99,0,0,0
32,Sock Basics,0,19.99,780,18,762
33,Man's Knitted Tie,0,9.99,1,0,1
34,DIY Beginners Blanket,0,12.99,631,6,625
35,Pintuck Square Pillow,0,9.99,0,0,0
36,Heavenly Hearts,0,9.99,0,0,0
37,re-use this,0,0.00,0,0,0
38,Sew 'n Cut Striped Pillow,0,9.99,1,0,1
39,Bolster Pillow (3 piece),0,9.99,0,0,0
40,Butterfly 1 piece Bolster Pillow,0,9.99,1,1,0
41,Checkerboard Pillow,0,9.99,3,1,2
42,Tucked Blocks,0,9.99,1,0,1
43,Stranded Pillow,1,9.99,2,0,2
44,Modern Striped Pillow,1,9.99,1,0,1
45,Color Block Cables,0,9.99,3,0,3
46,Skull and Crossbones Pillow,1,9.99,1,0,1
47,Shar Pei Wrinkled Pillow,1,9.99,0,0,0
48,Make it Your Way Diagonal Pillow,0,9.99,1,0,1
49,Bonnie's One Piece Cocoon,1,24.95,707,2,705
50,Color Block Pillow,0,9.99,0,0,0
51,Swan Socks - Single Bed,0,24.99,0,0,0
52,Dress Topper,0,9.99,1,1,0
53,Ohmmm Yoga Socks,0,9.99,0,0,0
54,2 Hour Infant Cardigan,0,29.98,404,40,364
55,Round Neck Shaping Practice,0,9.99,9,0,9
56,reuse this,0,3.99,0,0,0
57,Elsa 18 Yoga Pants,1,9.99,2,0,2
58,Color Block Poncho,1,9.99,3,0,3
59,Shaped Crown Beanie,0,9.99,0,0,0
60,Slip,0,0.00,0,0,0
