Homestudy_libraryid,HomeStudy_courseid_fk,Dateadded,Credit_id_fk,memberid_fk,Subscriberfree
12,3,2012-01-31 00:00:00.000,0,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,1
13,2,2012-01-31 00:00:00.000,0,47778DB8-B8C8-7FE9-D03D-59636F31D724,1
14,2,2012-01-31 00:00:00.000,0,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,1
15,3,2012-01-31 00:00:00.000,0,47778DB8-B8C8-7FE9-D03D-59636F31D724,1
16,1,2012-01-31 00:00:00.000,11909,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,0
20,1,2012-02-02 00:00:00.000,11943,B3E80886-E847-63F1-A8BF-26B477DF55E2,0
21,3,2012-02-02 00:00:00.000,11943,B3E80886-E847-63F1-A8BF-26B477DF55E2,0
22,1,2012-02-02 00:00:00.000,11944,47778DB8-B8C8-7FE9-D03D-59636F31D724,0
23,4,2012-02-07 00:00:00.000,12086,47778DB8-B8C8-7FE9-D03D-59636F31D724,0
25,2,2012-02-09 00:00:00.000,12122,C0C10AC4-FE2D-758C-2DCD-882FFF59A876,0
26,3,2012-02-09 00:00:00.000,12122,C0C10AC4-FE2D-758C-2DCD-882FFF59A876,0
27,4,2012-02-14 00:00:00.000,12242,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,0
28,1,2012-02-14 00:00:00.000,0,90C36E2C-E6CE-B1E3-C173-5688A7BF10A6,1
29,1,2012-02-16 00:00:00.000,0,10E098E9-AD1F-A3ED-835C-D846D303ECE4,1
30,1,2012-02-16 00:00:00.000,0,7DEBBE84-D3E6-3459-D696-5429B602BAA9,1
31,1,2012-02-16 00:00:00.000,12278,CC6FC2F9-C6C8-0317-7A37-E5B1211AD8C9,0
32,1,2012-02-16 00:00:00.000,0,491361B0-EBFE-C6CB-4324-DD3F641A14AA,1
33,1,2012-02-16 00:00:00.000,0,9004763D-9F82-C23D-ED84-B380EB89E220,1
34,1,2012-02-16 00:00:00.000,0,D7A5182E-9F3E-6D77-4916-51DB6B4F23A6,1
35,1,2012-02-16 00:00:00.000,0,D66E3D78-F4F7-1C61-9C48-AD2B78DBE9C1,1
36,1,2012-02-16 00:00:00.000,0,8ED996E4-E6CA-5640-648A-3AD1B0C7F336,1
37,1,2012-02-16 00:00:00.000,0,270CC343-05C2-015A-AFC1-9F763E3BA0DE,1
38,1,2012-02-16 00:00:00.000,0,C8FCF9DC-0FC7-6B43-B898-DC504E7903CE,1
39,1,2012-02-16 00:00:00.000,0,FBC9853E-0883-FD8D-B03B-74547CDA1983,1
40,1,2012-02-16 00:00:00.000,0,8E95C259-FC16-F130-C487-C733551382AD,1
41,1,2012-02-16 00:00:00.000,0,AE73636D-EA07-F615-2CB8-C9C77A86B25B,1
42,1,2012-02-16 00:00:00.000,0,93F63D78-011A-E1B3-CD2A-9519F9409A88,1
43,1,2012-02-16 00:00:00.000,0,8F54B4A4-952F-5D2C-9903-B82609142242,1
44,1,2012-02-16 00:00:00.000,0,DF963195-E442-D0B7-D991-03D3EE5484C4,1
45,1,2012-02-16 00:00:00.000,0,992FC0A4-D6E0-C460-AC9C-D9ECDCF067D5,1
46,1,2012-02-16 00:00:00.000,0,C090D8CA-A4E7-FB3B-3CDC-A3372DDCA57F,1
47,1,2012-02-16 00:00:00.000,0,2F4E89A1-F311-427F-E113-34A1A6A73D08,1
48,1,2012-02-17 00:00:00.000,0,ACF34677-BB9A-A337-B5C8-7C58C2742518,1
49,1,2012-02-17 00:00:00.000,0,94BDD0F7-F5DF-8893-9109-93FDF6B1B60D,1
50,1,2012-02-17 00:00:00.000,12325,88ED0785-C571-FADC-7F01-42E95F5D9BE9,0
51,1,2012-02-17 00:00:00.000,0,9D9328B9-0B67-1E62-F940-FED52E08A965,1
52,1,2012-02-17 00:00:00.000,0,0FC6D1BC-DB83-D7AD-2525-11379EBB88AB,1
