Transaction_itemid,StoreTransactionID,itemid,ItemName,Color,Quantity,VendorID,PricePerItem,TotalPrice,SaleDescripton,perlable,product,weight,OnSale,Putup,ConfirmedRecipt,ShippingDate,TrackingNumber,Shipped,carrier,VendorPaid,orderdate,ColorId,PONumber,backorder,RemoveFromList,Deposit,VendorInvoice,VendorPaidDate
62,27,38,Angora (3/10),Black,1,1,67.50,67.50,10% off each item included in price,per lb.,Yarn,1.50,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
63,27,78,Stretch Cotton,Sand,1,1,35.94,35.94,,per lb.,Yarn,1.20,0,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
64,27,47,Sock Yarn on cones,Grey Heather,2,3,24.95,49.90,,per lb.,Yarn,1.00,0,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
67,30,163,Tamm 3 Ply 3/16,White 1201,2,4,14.45,28.90,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
68,30,168,Tamm Estilo 2/14,Black 3199,2,4,19.5075,39.015,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
69,30,163,Tamm 3 Ply 3/16,Black 1299,2,4,14.45,28.90,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
70,30,167,Tamm Diamante 2/8,1999 Black,2,4,19.5075,39.015,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
71,30,174,Tamm Rayito 3/15,Black 3299,2,4,17.425,34.85,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
72,31,163,Tamm 3 Ply 3/16,White 1201,2,4,14.45,28.90,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
73,31,168,Tamm Estilo 2/14,Black 3199,2,4,19.5075,39.015,15% off each item included in price,per lb.,Yarn,1.00,1,Cone(s),1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,0,0,0.00,NULL,NULL
