subscriptionID,Memberid_FK,Datebought,ExpirationDate,transactionguid_fk,Dollaramount,ARB_ID,ABR_InoviceNumber,Monthlypaymentwddx,renewal,MonthlyBilling,MonthlyYearCompletedate,Cancelled,CancelDate,CardYear,CardMonth,CardLast4,IssueWithSub,IssueDate,Evidence,Premium,Processor,SubscriptionRate_ID
26287,C3DC2BDB-CC74-A2C7-E619-0008B91B003B,2022-04-15 09:03:36.680,2023-04-15 09:03:36.667,C537FF1D-EAFB-2C1A-E079-53BC57E1442F,199.00,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,1,paypal,7BE384D6-AA24-CCDD-CC5E-D0A919B4CF9F
20849,8BD84C7D-CC2B-2828-7DF3-000FB5628232,2021-06-15 08:36:58.633,2021-08-15 00:00:00.000,9CBF1080-91DC-6F0D-364E-9483216137C0,135.00,53343426,20210615_083658,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>8/15/21</string></var><var name='second'><string>7/15/21</string></var><var name='first'><string>6/15/21</string></var></struct></data></wddxPacket>,0,0,NULL,1,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
21316,4A9377D7-5056-A02D-DF1A-002D5814F282,2021-10-15 08:36:01.667,2022-12-14 20:11:53.783,27851AD5-AC0C-1B45-95AA-EC5AE212F7FF,135.00,54777200,20211015_083601,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>12/15/21</string></var><var name='second'><string>11/15/21</string></var><var name='first'><string>10/15/21</string></var></struct></data></wddxPacket>,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,E3D8E51D-0EA6-C8CE-6FB9-9F476CD61899
14571,4A9377D7-5056-A02D-DF1A-002D5814F282,2020-09-15 09:51:18.277,2021-11-14 20:11:53.783,B4559513-CE0C-98D4-1C15-EC3B0F670FA3,135.00,49882099,20200915_095118,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>11/15/20</string></var><var name='second'><string>10/15/20</string></var><var name='first'><string>9/15/20</string></var></struct></data></wddxPacket>,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
29028,4A9377D7-5056-A02D-DF1A-002D5814F282,2022-11-14 08:56:24.667,2024-01-13 20:11:53.783,A041AB6F-A38E-3841-7DF7-99439CCF8339,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
34599,4A9377D7-5056-A02D-DF1A-002D5814F282,2024-01-10 09:34:16.227,2025-02-11 20:11:53.783,85F4B5AF-022E-74D2-521E-6411DCC438A7,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
35781,4A9377D7-5056-A02D-DF1A-002D5814F282,2024-10-21 16:58:52.063,2026-03-13 20:11:53.783,E8BFD7E2-D410-4403-E635-C97AC7A83464,45.00,NULL,NULL,NULL,1,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,0,stripe,0EE3EA0F-C3F2-FA48-1101-577D4BCAD7EB
37322,4A9377D7-5056-A02D-DF1A-002D5814F282,2026-03-08 12:32:39.937,2026-04-08 12:32:38.000,0EE8FD7B-DAB4-89F4-0B3D-FEE6E5BF0A41,19.99,sub_1T8kFuCW7QxJHpQOg3KpZ9RO,NULL,NULL,1,1,NULL,1,2026-04-27 16:33:23.960,NULL,NULL,NULL,0,NULL,0,1,NULL,NULL
37402,4A9377D7-5056-A02D-DF1A-002D5814F282,2026-04-10 11:41:44.043,2026-05-11 00:00:00.000,B08C5C7A-CC5E-472D-4CE5-02CCCDB77910,19.99,sub_1TKhBgCW7QxJHpQOCmoTiE7d,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,0,1,NULL,NULL
12244,4A9377D7-5056-A02D-DF1A-002D5814F282,2019-10-16 20:11:53.783,2020-10-15 20:11:53.783,66900C27-B659-0E19-8BE1-299372DB8BBC,135.00,45781077,20191016_201153,<wddxPacket version='1.0'><header/><data><struct><var name='third'><string>12/16/19</string></var><var name='second'><string>11/16/19</string></var><var name='first'><string>10/16/19</string></var></struct></data></wddxPacket>,0,0,NULL,0,NULL,NULL,NULL,NULL,0,NULL,1,0,NULL,NULL
