PatternLibarry_id,Title,description,keywords,GarmentID_fk,Authorid_fk,designerid_fk,skill_level_id,PatternType,CategoryId,Filename,cost,active,dateadded,freewithsubscription,Credits,SizingTypeid_FK,AdditionalImages,AddCopyWrite,NetCost
14,Green & White Suit with 6 Gore Skirt,"<p>Fairisle Jacket with a square armhole and a sleeve designed to eliminate the excess fabric in the underarm area. Designed with button bands, the edges are finished with full needle rib bands. There is optional ribbing at the cuffs. The full needle rib casing at the hem with a tie for blousing the jacket is also optional.<br /><br />The 6 gore skirt is knitted using a special slip stitch pattern. Punchcard images for both stitch patterns are included.</p> <p>No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","Fairisle, suit, jacket, 6 gore skirt, skirt, tuck stitch skirt, pattern drafting, body block, full needle rib bands",0,1,12,5,Machine,13,green_and_white_suit.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
15,Perle Striped Suit with Yoke Skirt,"<p>The jacket of this suit is knit in stockinette. It has an easy ribber trim for the bands. The set-in sleeves give a traditional look.<br /><br />The skirt is a sotly gathered skirt that is hung from a yoke. This gives a slimming effect and the skirt moves gracefully. The yoke of the skirt is knit in stockinette stich and has a special welt technique that allows the skirt to hang straight. The skirt panels are knit in tuck. Punchcard image is included<br /><br />No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","suit, jacket, 6 gore skirt, skirt, tuck stitch skirt, pattern drafting, body block, full needle rib bands, skirt welt",0,1,12,5,Machine,13,Perle_stripe.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
16,Woven Walking Suit with Double Bed Skirt,"<p>The jacket of this suit is knit using the knit weave technique.  It is constructed with a front facing that is knit in one piece with the front of the jacket. It has timeless set in sleeves and a tailored stand up collar. The buttonholes are shortrowed and are very easy to make and finish.<br /><br />The 4 gore double bed skirt hangs beautifully and has most of its fullness at the bottom. Knitting the skirt on the double bed makes it rather heavy but it gives the suit good balance with the knit-weave jacket.<br /><br />Knit the skirt in stockinette if preferred for a lighter weight, year-round skirt.<br /><br /><br />No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","suit, jacket,4 gore skirt, 4 gore double bed skirt, skirt, tuck stitch skirt, pattern drafting, body block, full needle rib bands, collar, knit weave, knit-weave, knitweav",0,1,12,5,Machine,13,woven_walking_suit.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
17,Grey and White Stripe Suit with Straight Skirt,"<p>A long, drop shoulder cardigan over a straight skirt makes this an easy, <br />wearable outfit for all figures.  It is knit a tuck stitch with the purl side as the rigth side. The tuck stitch punchcard image is included. The bands are stockinette on the knit side. The jacket has a special banding technique on the bottom as does the skirt.<br /><br />An easy to wear, straight skirt is knit in tuck on the purl side. There is a special hem which is knt on in stockinette afterwards and is used on the knit side. The same punchcard s used for both pieces.<br /><br />No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","suit, jacket, straight skirt, skirt, tuck stitch skirt, pattern drafting, body block, stockinette bands, stripes",0,1,12,5,Machine,13,grey_and_white_suit.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
18,Fairisle Suit with Slim Pleated Skirt,"<p>This classic jacket is easy to knit and has good texture.  It is done i fairisle using two different weights of yarn. It has classic set in sleeves and stockinette bands with metered corners.<br /><br />The skirt was knit on the ribber. It is very easy to knit as it is done in straight panels.  There is an elastic casing on the waistband and crochet is used to finish the bottom hem. Very detailed instructions, as well as the fairisle punchcard image is included.<br /><br /><br />No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","suit, jacket, ribbed skirt, double bed skirt,  pattern drafting, body block, stockinette bands, fairisle",0,1,12,5,Machine,13,Fairisle_suit_with_pleated_skirt.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
19,Sport Shetland Suit with Straight Skirt,"<p>A teeny rib straight skirt with a long pullover top makes a nice casual outfit. Because the yarn used for the original design was very soft, both pieces are knit on the double bed. With the drafting instructions, you could easily  knit this top on the single bed (eliminating the collar and front tab)<br /><br />The collar and skirt have a very pretty automatic  ribber edging that is super easy.<br /><br />The skirt is straight with an elasti waistband.<br /><br /><br />No sizes are given, this pattern was written to teach the knitter to create a personal body block and draft the pattern for a perfect fit. All instructions are included, from creating your body block, drafting the pattern and knitting the garment.</p>","suit, pullover, straight skirt, ribbed skirt,  pattern drafting, body block, full needle collar, full needle rib bnad",0,1,12,5,Machine,13,Sport_shetland_suit.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
20,Cocoon,"<p>2 patterns in one! Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: one side fits all<br />Gauge: 26 sts / 38 rows = 4""<br /><br />This is a very interesting garment which is very easy to  knit and can be made in a variety of yarns and stitch patterns. It is a simple rectangle with pleats shortrowed in. Use your imagination to create very different effects by using different colors or different patterns. If you change the yarn or stitch and you don't have enough needles, don't worry, simply cast on the whole bed. The length of the cocoon will just be a bit shorter.<br /><br /></p>","shawl, poncho",0,1,12,2,Machine,6,cocoon.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
21,Bubble Blouse,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42"")<br />Gauge: 34 sts / 75 rows = 4""<br /><br />This blouse was originally knit in a very light weight yarn at a loose tension. The hand-manipulated stitch construction makes it literally float on the body. Both the knit side and the purl side are beautiful!  Instructions for both are given.<br /><br />The blouse is a v-neck drop shoulder garment that gives the look of cap sleeves. The sample is knit with ribbing at the hem, but this is optional.<br /><br />This is a great first project for learning Bonnie Triola's technique for creating a body block and drafting your own sweater. If the stitch pattern is overwhelming, substitute one of your own!</p>","drop shoulder, v-neck, hand manipulation",0,1,12,2,Machine,4,bubble_blouse.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
22,Gloria Wrap Sweater,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42""), x-large (44-46"")<br />Gauge: 26 sts / 77 rows = 4""<br /><br />Knit in a tuck stitch, this hip length cardigan includes a timeless surplus wrap front. The ribbing at the hem is optional, but gives the sweater beautiful shape.  <br /><br />The elbow length sleeves are set in and appear to have a bit of gathering at the sleeve head. The ribbed cuffs are also optional. <br /><br />Finished with a 1x1 ribbed band and 5 buttons, a stockinette band could be substituted for a similar look.</p>","elbow length sleeves, ribbed band, wrap front, tuck stitch, buttons, set in sleeves",0,1,12,5,Machine,5,gloria_wrap_sweater.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
23,Ruched Pullover,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42"")<br />Gauge: 35 sts / 105 rows = 4""<br /><br />Saddle shoulder sleeves make the construction of this pullover a bit unusual. The body shape is drop shoulder and it has long sleeves.  The neckband is knit on the double bed and very detailed instructions are included. An experienced knitter could substitute a stockinette band.  Also a different hem technique could be substituted for  the ribbing at the cuffs and hem.<br /><br />This sweater is done in a very pretty and unusual stitch which looks complicated but is very easily accomplished with a punch card (or electronics). The original sample  was knit in 2 colors but it could also be done in a solid color. A yarn changer is helpful but not necessary when doing the 2 color version.</p>","v-neck, saddle shoulder, rouched, drop shoulder",0,1,12,3,Machine,4,rouched_pullover.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
24,Richeline Shawl Collar Cardigan,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42""), x-large (44-46"")<br />Gauge: 27 sts / 65 rows = 4""<br />An easy fitting, drop shoulder, multi colored cardigan, originally knit on the double bed.<br />Richeline is a soft yarn that resembles mohair. This is a lightweight but warm sweater. The entire sweater is done on the ribber in full needle rib tuck stitch, using a punchcard (included in the pattern).<br /><br />For those of you who find doing a whole sweater on the ribber a bit too adverturesome, the same punchcard can be used to do a tuck stitch on the mainbed only.  However, your gauge will be completely different and you will have to recalculate the pattern according to your gauge.<br /><br />A yarn changer would certainly be most helpful when knitting this design.  It could also be done in a solid color.  The sweater is very roomy and easy fitting. It has dropped shoulder styling and a shawl collar.</p>","full needle rib, 2 color, yarn changer, mohair",0,1,12,4,Machine,5,richeline_shawl_collar.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
25,Bonnie's Cardigan,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42""), x-large (44-46"")<br />Gauge: 30sts / 45 rows = 4""<br /><br />This is a basic cardigan with enough ease in it to easily fit over a blouse or a light weight sweater.  The original is knit in a solid color with contrast ribs. Experiment with a variety of patterns and stitches.<br /><br />This round neck, hip length cardi has traditional set in sleeves and double bed bands. Stockinette bands could easily be substituted. Ribbing at the cuffs and hem are optional.</p>","cardigan, full needle rib bands, set in sleeves.",0,1,12,5,Machine,5,Bonnie's Cardigan.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
26,Carioca Sideways Pullover,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42""), x-large (44-46"")<br />Gauge: 27 sts / 40 rows = 4""<br /><br />This is a round neck, sideways knit pullover with cap sleeves. The original was knit with stripes, but the basic design lends itself to a variety of patterns.  Vertical stripes are slimming!<br /><br />Because of it's construction, this pattern lends itself to a wide range of sizes. No needle bed limitation.<br /><br />The neckband was originally knit in 1x1 rib, stockinette bands could easily be substituted.</p>","sideways knit, pullover",0,1,12,2,Machine,4,carioca_sideways.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
27,Capri Jogging Jacket,"<p>2 patterns in one! <br />Draft your own size with the detailed instructions or match the gauge and follow the printed instructions.<br /><br />Size: Small (32-34""), Medium (36-38""), Large (40-42""), x-large (44-46"")<br />Gauge: 30 sts / 42 rows = 4""<br /><br />This is a very easy to knit, easy fitting and roomy casual cardigan. It features generous set in sleeves, a zipper, and an attached hood with lots of techniques included.</p>","zipper, cardigan, hood",0,1,12,3,Machine,5,Capri Jogging Jacket.pdf,5.00,0,2010-05-26 15:22:43.040,1,3,1,,0,0.00
28,Taking Body Measurement and Making a Body Block,<p>One of the most important aspects of a well knit garment is fit.  These instructions walk you through taking accurate body measurements (with a few unusual tips included).<br /><br />It also demonstrates basic pattern drafting based on your personal measurements. The body block created is the basis for many of the patterns that  were written by Bonnie Triola.</p>,"Bonnie Triola, Body block, pattern drafting, fit, measuring, measurments",0,1,12,2,Machine,14,Taking_body_measurements.pdf,3.99,0,2010-05-27 19:39:27.203,1,5,1,,0,0.00
29,Toddler Fiesta Cardigan,"<p>Colorful, fun,toddler cardigan with drop shoulder sleeve and garter stitch bands and collar.The garment is worked in 2 different gauges, be sure to swatch both stitch patterns.<br /></span><span style=""font-style: italic; font-family: ""><br />Machine knitters can substitute reverse stockinette for the skirt. The collar, cuffs and bands can be hand knit or quickly turned using the garter bar.<br /></span><br />PDF pattern in Toddler sizes 2T - 4T.<br /><br /><strong>Want more sizes?<br />Want to knit at YOUR gauge? <br /><br />Click on the logo to the right<br />and use the Knit it Now NO-MATH solution.<br /></strong></p>","cardigan, variegated yarn, button band, garter stitch",177,2,1,3,Both,5,toddler_fiesta_cardigan.pdf,5.00,1,2010-05-28 12:46:12.123,0,3,4,NULL,0,0.00
32,Crochet Trims for Knits,"<p><em>From Jodie:</em>""In working with many knitters, it has been observed that the Crochet finishing on many of  my garments has been noticed. Lots of individuals have said they can knit, but have difficulty with crochet work. So, this book is my effort to show all of you how easy crocheting is done. Just a little practice and you're a pro .... another benefit of learning to crochet is to repair or correct major and minor disasters. There are a few tricks with crochet work to correct some unwanted happenings of a knit.""</p> <ul> <li>Basic crochet</li> <li>Left handed crocheters</li> <li>Swatching in crochet</li> <li>Crochet Buttons</li> <li>Small, easy, fast and accurate knitted swatches</li> <li>25 pages - free for Knit it Now Subscribers</li> </ul> <p>25 pages</p> <p> </p> <p><em>Well known, long time machine knitter Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>","crochet, crochet buttons, left handed crochet, trims, inserts, crochet swatch, swatching, gauge",0,3,13,2,Both,17,Crochet_trims.pdf,9.95,1,2011-05-17 11:49:19.967,1,10,15,NULL,0,0.00
33,Jodi's Favorite Demos Volume 1,"<p>From Jodie:</p> <p>""So often at seminars there are many knitters desperately trying to watch demonstrations, take intelligent notes, or tape the proceedings - only to find when they return home the tape did not record, or the notes made no sense whatsoever. And, being so busy trying to capture the material, they didn't have a chance to see all the things the instructor was showing. How frustrating. Have you been there?""</p> <p>This book includes many detailed handouts that Jodie used over the years. Even though the photos are dated, the book is <span style=""color: #3366ff;""><strong>chock full of timeless information</strong></span> for both hand and machine knitters.</p> <p>Included:</p> <ul> <li>Bobbin Weaving (Intarsia) detailed instructions</li> <li>Isolated and Alphabet Knitting</li> <li>Sport Towel with Graphic DesignsBlock Alphabet Graph (vertical and horizontal)</li> <li>International Signal Flag code graph</li> <li>Script Alphabet and Slanted Script Graphs</li> <li>Fingertip Towel with Graphs</li> </ul> <p>56 Pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br /><br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>","alphabet charts, script charts, jodi raymond, international signal flag codes",0,3,13,3,Both,17,jodi_demo_one.pdf,9.95,1,2011-07-28 07:07:36.583,0,11,15,NULL,0,0.00
