Pattern_library_purchases,transactionguid,dateadded,Memberid_FK,PatternLibarry_id,VendorPaid
1,D6882858-D701-9B03-1DB1-A562508FE7FE,2010-05-26 17:32:47.920,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,27,0
2,D696D9B1-D6B7-D081-C755-AC0E3178B1A4,2010-05-26 17:48:50.813,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,26,0
5,FFBF16E8-07CE-4B37-5993-C9BCA2A9EF90,2010-06-03 17:37:13.940,123E7C46-9882-B2CE-4C4C-9C0F4B37A087,16,0
7,6D4A3551-01F6-F8C9-9763-D8B0A00397D6,2010-06-25 00:07:47.747,3B43FD8E-A9F3-4B1A-74CC-255ACCD77E11,29,0
8,7F646326-A713-1CD4-E93F-53FE03707C14,2010-06-28 12:29:33.163,47778DB8-B8C8-7FE9-D03D-59636F31D724,29,0
9,8682D25A-CFD7-E7E0-D25F-2BEB50C76FA7,2010-06-29 21:40:08.253,47778DB8-B8C8-7FE9-D03D-59636F31D724,15,0
10,8EEEF394-BC61-4E33-B895-0031895801BC,2010-07-01 12:55:12.833,8EB20C35-C657-5267-BBE2-3C388A92A65E,20,0
11,8EF04BE0-E463-C296-0CB6-B66EF4293056,2010-07-01 12:56:40.773,8EB20C35-C657-5267-BBE2-3C388A92A65E,14,0
12,9A628A88-AD46-08D9-4BE5-AD1791763250,2010-07-03 18:17:17.577,9A28AD8A-A0E4-99D4-E700-D47E5472D1EA,14,0
13,9A6647A9-F6BD-F03B-5A73-614035758D48,2010-07-03 18:21:22.433,9A28AD8A-A0E4-99D4-E700-D47E5472D1EA,29,0
14,BCB069AD-D63B-7D1E-35A7-650320A5E92D,2010-07-10 10:09:26.623,BCAD0AD5-948F-622D-1F8B-1997740129BD,27,0
15,BCB71BD4-97AD-4523-154B-001E37F8D17B,2010-07-10 10:16:45.527,BCAD0AD5-948F-622D-1F8B-1997740129BD,14,0
16,DD89D20B-D831-8778-94F5-C1DD19D8CB98,2010-07-16 19:14:47.937,DD16C540-BFF6-AD51-BA98-11AE1A74DCAA,20,0
17,F25CF00C-B058-85F0-8D46-CF6E8E8B7AE7,2010-07-20 20:17:45.337,A9E0609B-0720-5361-88E3-A5D387A7F14A,20,0
18,00DC5476-911F-5EA3-EF19-03E7CE325288,2010-07-23 15:51:35.127,90C36E2C-E6CE-B1E3-C173-5688A7BF10A6,18,0
19,069CE9B4-9215-5EF5-1CE3-F21AACEAD423,2010-07-24 18:40:02.437,E1A035D0-CC17-912A-F206-407928AC91DB,20,0
20,2001316E-91FB-CF36-DA42-C16079122F65,2010-07-29 17:00:04.487,93226CC6-A1A0-C614-BA69-A7C748D323FF,27,0
21,2E36DDDA-ACCD-1D55-B066-3098D60CBFCF,2010-08-01 11:13:23.190,2E1B04DB-C218-35AC-824D-719D19BBD2E9,20,0
22,4E8BB4B9-CAAD-7CAC-6A96-BD7E9A9EEDC6,2010-08-07 17:53:54.023,0656300E-9FFF-7A01-C280-D9713432AC00,27,0
23,6224A5F8-DC67-2AF9-7AEC-3196567DEA70,2010-08-11 13:13:44.350,93CE390B-00B5-8E4D-512D-571E83D2AB48,14,0
24,9FB8FEEB-DA85-2776-521B-39748B65AB97,2010-08-23 12:12:37.137,9D850491-F3CB-A790-7934-D69FFA86898D,20,0
25,AF4B1815-D6B6-5A9F-276F-788FA9B8643A,2010-08-26 12:46:29.740,8ED996E4-E6CA-5640-648A-3AD1B0C7F336,24,0
26,AF5D681D-B1DA-9147-5C8F-FE1102D10486,2010-08-26 13:06:29.457,8ED996E4-E6CA-5640-648A-3AD1B0C7F336,20,0
27,15D22AA8-E523-D0E9-0C3B-384CE451390D,2010-09-15 10:35:18.347,F4306D9A-F020-F3C6-5A95-BA929A491324,20,0
28,7841DAF9-FA35-B43E-0E4F-19FCB5B1F796,2010-10-04 13:20:04.543,CD9DA157-FCD2-12B6-4CB8-A90F349C24D7,27,0
29,E36B5C6A-C41A-DEBF-662E-8D64FEF2C047,2010-12-14 00:47:34.853,9DEEBB04-D56B-9DDA-C758-ADDF4B28F710,20,0
30,084A59A7-0F67-2785-01A7-05F57848C423,2010-12-21 04:37:28.250,08441A88-A0C4-6126-C0D4-22478B1F1519,20,0
32,6D01F674-B9EF-2207-79A0-FF4C2448F23F,2011-02-28 11:02:50.080,1085EA94-0C4C-F0C6-FBBE-01AC2F4C1232,20,0
