ItemId,ItemName,SellPrice,Thumbnail,DownloadFile,Breif,Description,Active,SubscriberFree
589,A Guide to Knitting with Yarn on Cones,4.99,numbers.jpg,yarn_counts_doc_PDF_format.pdf,"2/24, 3/8, 5/2 .... what do those numbers mean?","2/24, 3/8, 5/2 .... what do those numbers mean?<br><br> Take the mystery out of the yarn counts systems. This illustrated booklet will not only help you understand the numbers, but will show you how to compare yarns for knitting success. <br> <br> <center><img src=""/images/blog_images/2018/free_for_subscribers1.png""></center>",1,1
418,A Shirt for All Seasons,14.95,shirts_eBook_cover.gif,shirts_new3.pdf,"Knit-on Collar with three choices of neck openings. Easy diagram and written instructions for step-by-step knitting. ""A Winning Classic""","<p>Knit-on Collar with three choices of neck openings. Easy diagram and written instructions for step-by-step knitting. ""A Winning Classic""</p> <p>From Jodie:</p> <p>""At last! Here is the Men's Shirt Book. This has been written in response to those many knitters, who have asked for instructions of the shirts I have knitted for the men in our family. However, since these are classic favorites for everyone, patterns for women and children have been included"" Classic Neck Placket with Collar and Set-in Sleeves for Men, Women and Children</p> <p><strong>NOTE</strong>: Even though the photos are dated, a collared pullover, both long and short sleeves with a button placket is timeless! The book includes lots of tips and tricks, plus options to make this design your own!</p> <p>Includes:</p>  <ul> <li>Detailed measuring instructions</li> <li>Random Thoughts and Suggestions</li> <li>Elastic Casings</li> <li>Buttonholes</li> <li>Collars</li> <li>Detailed patterns for Men's, Ladies and Children's collared shirts</li> </ul>  <p>99 pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.</em></p> <p><em>Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",1,0
728,Add a Hood to Any Knitting Pattern,24.95,hood_book_cover_300.jpg,HOOD_WORKBOOK2-15_1.pdf,"Use your favorite knitting pattern and add a decorative, useful hood.  With a little math you can make it your own!","<p>Adding a hood adds a practical designer touch to any sweater. You don't need to search for a machine knitting pattern with a hood ... create your own!</p> <ul> <li>8 hood styles</li> <li>Perfect for kids and adults</li> <li>Workbook style fill-in-the blanks format</li> <li>36 pages</li> </ul> <p><em>This is a workbook, not a pattern book. It is designed to help you create your own hood with any knitting pattern</em></p>",1,0
417,After Five Easy Elegance (Dresses),14.95,eBook_image_master2.gif,easy_elegance2.pdf,"This book contains patterns for several skirts, bodices, jackets and a caftan. The skirts can be made with a waistband or continued on as a dress.Bodices may be made into overblouses or added to the skirts to make a gown.These outfits can be knitted in long or short length. Combine the patterns to make your own original ensemble and way you wish.","<p>This book contains patterns for several skirts, bodices, jackets and a caftan. The skirts can be made with a waistband or continued on as a dress. Bodices may be made into overblouses or added to the skirts to make a gown. These outfits can be knitted in long or short length. Combine the patterns to make your own original ensemble and way you wish.<br /><br /> From Jodie:<br /><br /> ""Not often do many of us have an opportunity, or place, to go to really ""dress up"" in glamorous clothes anymore.<br /><br />But think about it. If nothing else, make yourself an exquisite dress to wear to the banquet at the next seminar you attend. These patterns can be as formal or as casual as you wish. Yarns, trims, embellishments, and pattern designs will change the character of each garment. <br /><br />At home or out on the town, you will feel ""special"" and look terrific. Wearing an elegant gown for a grand evening, or entertaining at home in a luxurious casual outfit is a great feeling.<br /><br />Have fun with this book and think of me when you are enjoying your special moments.""<br /><br /> <strong>Includes:</strong></p> <ul> <li>Measurements and Sizing</li> <li>Secrets for a Beautiful Skirt</li> <li>Compensation for Figure Faults</li> <li>Jodie's Basic Hem</li> <li>Facings</li> <li>Waistbands</li> <li>Double Needle (Closed Rib) Bodices</li> <li>Basic ""mix and match"" skirts, bodices and jackets</li> <li>30"" - 40"" bust / 35"" - 42"" hip</li> </ul> <p>50 pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting. Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.</em></p> <p><em>Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",1,0
485,Bulky Round Neck Upside Down Raglan Pullover for Adults,14.95,NULL,bulky_round_adults.pdf,These 'knit from the neck down' BULKY patterns for Adults are the easiest sweater to knit!  This book includes complete diagrams and written instructions. Patterns are written for <b>3 different gauges!</b>,"<p>These 'knit from the neck down' BULKY patterns for adults are the easiest sweater to knit!  This book includes complete diagrams and written instructions. Patterns are written for <b>3 different gauges! Includes instruction for adding tutleneck collars - both standard (tight) and cowl (loose).</b><br></p> <p><br />Included are lots of details, tip and tricks and ""Random Thoughts and Suggestions"".</p> <blockquote><em>From Jodie: These sweaters are very easy and fast. Many knitting instructors use this book as a beginning project for their new students, so novice knitters can make something useful right off the bat!</em></blockquote> <table cellpadding=""10""> <tbody> <tr> <td> </td> <td>Sizes Included:<br /> <ul> <li>Ladies 32"" - 44"" bust</li> <li>Men's 36"" = 47"" chest</li> </ul> </td> <td>Bulky Gauges:<br /> <ul> <li>3 stitches and 5 rows = 1""</li> <li>4 stitches and 6 rows = 1""</li> <li>5 stitches and 7 rows = 1""</li> </ul> </td> </tr> </tbody> </table>",0,0
733,Bundle - Machine Knitting Trims and Edges,28.98,NULL,NULL,Single and Double Bed trims and edges for Japanese Machines. Dress up your knitting.,Double Bed Trims and Edges<br>  Beautiful double bed trims and edges for Japanese machines. Dress up your knitting! <ul> <li>24 double bed (ribber) techniques</li> <li>Updated with full color photos</li> <li>Clear Charts and diagrams</li> <li>Searchable</li> </ul>  <hr> Single Bed Trims and Edges<br> Beautiful single bed trims and edges for Japanese machines.  <ul> <li>53 single bed techniques (no ribber needed)</li> <li>Updated with full color photos</li> <li>Clear Charts and diagrams</li> <li>Includes color photos and instructions for basic techniques used</li> <li>Searchable</li> <li>111 pages</li> </ul>,0,0
416,Cheat Sheets for Hand Manipulated Stitch Patterns,4.99,cheat_Sheet_ebook_cover.gif,cheet_sheet_book2.pdf,"With non-patterning machines and any time you want to work a hand manipulated stitch pattern, there's usually a lot of counting of needles involved.  Here are cheat sheets to help hand selecting needles a snap!","<style>img.ctr{ display: block; margin-left: auto; margin-right: auto; } </style> <img class=""img-responsive ctr"" src=""/path/images/4098/free_4_members2.png""><br>  <p>With non-patterning machines and any time you want to work a hand manipulated stitch pattern, there's usually a lot of counting of needles involved.<br /><br />Here are cheat sheets to help make hand selecting needles a snap!</p> <p>Use with 3.6mm, 4.5mm, 6mm, 6.5mm, 7mm, 8mm, 9mm knitting machines.</p> <p>Don't know the <a data-GlossaryId=""363"" class=""glossaryhelp"">Needle Pitch of your machine?  <i class=""fa fa-question-circle"" aria-hidden=""true""></i></a> (It's the distance between the needles)</p> <p>Download these helpful tools and you'll be knitting cables, lace, and other stitch patterns quickly and accurately ... without having to repeatedly count needles!<br /><br /></p>",1,1
629,Christmas Socks,12.99,christmas_socks_thumb.jpg,socks_KIN.pdf,"Designed for the flatbed, standard gauge machine, Knit-1 includes step-by-step instruction for knitting socks with a Christmas flair! Included is a fun, fairisle punchcard pattern and a striped version.","<p>Designed for the flatbed, standard gauge machine, Knit-1 includes step-by-step instruction for knitting socks with a Christmas flair! Included is a fun, fairisle punchcard pattern and a striped version.<br /><br />The socks are designed for UK size 5 (US size 7 1/2) but they can be easily adjusted for your size.<br /><br /> This is a traditional pattern with a finished gauge of 44 rows and 32 sts to 4"" (10 cm). 21 pages</p> <center><img src=""http://www.knititnow.com/images/blog_images/2014/bonus.jpg"" width=""250"" /></center> <table width=""70%"" align=""center""> <tbody> <tr> <td><hr /> <blockquote><strong>Want to use a different gauge / size?</strong><br /><em><em>Use the Knit-1 instructions and inspiration with the Knit it Now Dynamic patterns.<br /></em></em> <ul> <li><a href=""http://www.knititnow.com/knit/DynamicPattern/236/adult-sock-with-short-rows"">Adult Socks</a></li> <li><a href=""http://www.knititnow.com/knit/DynamicPattern/241/kids-sock-with-short-rows"">Kids Socks</a></li> </ul> <em>Use any yarn!</em></blockquote> </td> </tr> </tbody> </table>",0,0
421,Crochet Trims for Knits,9.95,crochet_eBook_cover1.gif,Crochet_trims2.pdf,"Using a bit of crochet can add the perfect finish to a garment. Stuffed full of detailed tips, this book is sure to help you be a better knitter!","<p>Long-Time machine knitter and instructor, Jodie Raymond shares tips and techniques for using crochet with your machine knitting. <br />BONUS: Included in this book is an ""easy swatch for machine knitters"" If you struggle establishing a correct gauge in your machine knitting, try Jodie's method.<br /><br /> (25 pages) Ready for immediate download</p> <p><em>From Jodie:</em></p> <blockquote>""In working with many knitters, it has been observed that the Crochet finishing on many of &nbsp;my garments has been noticed. Lots of individuals have said they can knit, but have difficulty with crochet work. So, this book is my effort to show all of you how easy crocheting is done. Just a little practice and you're a pro .... another benefit of learning to crochet is to repair or correct major and minor disasters. There are a few tricks with crochet work to correct some unwanted happenings of a knit.""</blockquote>",1,1
474,Cut 'n Sew Neckline Template,5.00,updated_thumbnail.jpg,new_templates_with_link_3_31_2014_2.pdf,"Printable templates to for cut 'n sew necklines. From infant to adult sizes. Neck depths up to 7"" (18cm)","Printable templates for cut 'n sew necklines. From infant to adult sizes. Neck depths up to 7"" (18cm). Create a perfectly shaped neckline every time!</p> <p>Cut 'n Sew necklines are easy and fast!<ul> <li>Knit your garment with no neckline shaping.</li> <li>Select a template for the desired neckline width and depth.</li> <li>Use the template to mark the shape</li> <li>Machine stitch along the marks to secure the edge</li> <li>Cut your neck opening</li> <li>Use an ""industrial"" band to neatly hide the cut edges.</li> <li>Both Letter (US) and A4 (Metric) versions are included</li> </ul> </p> <p><strong>BONUS!</strong></p> <p>PDF template includes links to the <a href=""http://www.knititnow.com/learn/tutorial/249/introduction-to-cut-and-sew"">Introduction to Cut 'n Sew tutorial</a>, including a demonstration of a basic industrial band. (no membership needed)</p>",1,1
