Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Gift Card,Status
cheat-sheets-for-hand-manipulated-stitch-patterns,Cheat Sheets for Hand Manipulated Stitch Patterns,"<img class=""img-responsive ctr"" src=""/path/images/4098/free_4_members2.png""><br>  <p>With non-patterning machines and any time you want to work a hand manipulated stitch pattern, there's usually a lot of counting of needles involved.<br /><br />Here are cheat sheets to help make hand selecting needles a snap!</p> <p>Use with 3.6mm, 4.5mm, 6mm, 6.5mm, 7mm, 8mm, 9mm knitting machines.</p> <p>Don't know the <a data-GlossaryId=""363"" class=""glossaryhelp"">Needle Pitch of your machine?  <i class=""fa fa-question-circle"" aria-hidden=""true""></i></a> (It's the distance between the needles)</p> <p>Download these helpful tools and you'll be knitting cables, lace, and other stitch patterns quickly and accurately ... without having to repeatedly count needles!<br /><br /></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-416,4.99,,0,deny,manual,FALSE,TRUE,,,FALSE,active
after-five-easy-elegance-dresses,After Five Easy Elegance (Dresses),"<p>This book contains patterns for several skirts, bodices, jackets and a caftan. The skirts can be made with a waistband or continued on as a dress. Bodices may be made into overblouses or added to the skirts to make a gown. These outfits can be knitted in long or short length. Combine the patterns to make your own original ensemble and way you wish.<br /><br /> From Jodie:<br /><br /> ""Not often do many of us have an opportunity, or place, to go to really ""dress up"" in glamorous clothes anymore.<br /><br />But think about it. If nothing else, make yourself an exquisite dress to wear to the banquet at the next seminar you attend. These patterns can be as formal or as casual as you wish. Yarns, trims, embellishments, and pattern designs will change the character of each garment. <br /><br />At home or out on the town, you will feel ""special"" and look terrific. Wearing an elegant gown for a grand evening, or entertaining at home in a luxurious casual outfit is a great feeling.<br /><br />Have fun with this book and think of me when you are enjoying your special moments.""<br /><br /> <strong>Includes:</strong></p> <ul> <li>Measurements and Sizing</li> <li>Secrets for a Beautiful Skirt</li> <li>Compensation for Figure Faults</li> <li>Jodie's Basic Hem</li> <li>Facings</li> <li>Waistbands</li> <li>Double Needle (Closed Rib) Bodices</li> <li>Basic ""mix and match"" skirts, bodices and jackets</li> <li>30"" - 40"" bust / 35"" - 42"" hip</li> </ul> <p>50 pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting. Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.</em></p> <p><em>Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-417,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
a-shirt-for-all-seasons,A Shirt for All Seasons,"<p>Knit-on Collar with three choices of neck openings. Easy diagram and written instructions for step-by-step knitting. ""A Winning Classic""</p> <p>From Jodie:</p> <p>""At last! Here is the Men's Shirt Book. This has been written in response to those many knitters, who have asked for instructions of the shirts I have knitted for the men in our family. However, since these are classic favorites for everyone, patterns for women and children have been included"" Classic Neck Placket with Collar and Set-in Sleeves for Men, Women and Children</p> <p><strong>NOTE</strong>: Even though the photos are dated, a collared pullover, both long and short sleeves with a button placket is timeless! The book includes lots of tips and tricks, plus options to make this design your own!</p> <p>Includes:</p>  <ul> <li>Detailed measuring instructions</li> <li>Random Thoughts and Suggestions</li> <li>Elastic Casings</li> <li>Buttonholes</li> <li>Collars</li> <li>Detailed patterns for Men's, Ladies and Children's collared shirts</li> </ul>  <p>99 pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.</em></p> <p><em>Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-418,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
let-s-knit-some-slacks,Let's Knit Some Slacks,"<p>From Jodie:</p> <p>""Once you have worn properly knitted slacks, you will prefer no other kind. This book features attractive, comfortable and wearable slacks in several styles for all occasions. Diagrams and written instructions are included..... Once you have tried them, you'll love them!""</p> <p>Includes:</p> <ul> <li>Detailed measuring instructions</li> <li>Instruction for perfect fit</li> <li>2 piece slacks</li> <li>4 piece slacks</li> <li>circular leg pants</li> <li>multiple waistband techniques</li> </ul> <p>57 pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting. Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br /><br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p> NOTE: To make downloads easier, we have broken the book into 3 parts.  If you are having trouble downloading with the Download button, use the individual links.<br><br>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-419,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
crochet-trims-for-knits,Crochet Trims for Knits,"<p>Long-Time machine knitter and instructor, Jodie Raymond shares tips and techniques for using crochet with your machine knitting. <br />BONUS: Included in this book is an ""easy swatch for machine knitters"" If you struggle establishing a correct gauge in your machine knitting, try Jodie's method.<br /><br /> (25 pages) Ready for immediate download</p> <p><em>From Jodie:</em></p> <blockquote>""In working with many knitters, it has been observed that the Crochet finishing on many of &nbsp;my garments has been noticed. Lots of individuals have said they can knit, but have difficulty with crochet work. So, this book is my effort to show all of you how easy crocheting is done. Just a little practice and you're a pro .... another benefit of learning to crochet is to repair or correct major and minor disasters. There are a few tricks with crochet work to correct some unwanted happenings of a knit.""</blockquote>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-421,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
signature-hats-and-caps,Signature Hats and Caps,"<p>Diagram style and written text instructions for several method of personalizing hats and caps that says ""Especially for you!""</p> <p>From Jodie:</p> <p>The greatest asset of our knitting machine is the ease with which an unusual, personalized gift can be produced. A hat or cap with a signature or a special slogan really conveys a very special ""thinking just of you"" that is hard to top. This book of patterns is published to compile some different methods to knit in your unique designs.</p> <p>The patterns all have step-by step instructions. Some also have diagrams to help explain the positioning of the letters, etc. Several variations are printed of some items to enable you to use the same pattern and knit an entirely different look.</p> <blockquote><em>From Sue: <p>The photos in this book may be dated, but the techniques presented are invaluable!</em></blockquote<br><br>Included: <table align=""center""> <tr> <td> <ul> <li>Lined Skull Cap</li> <li>Easy  Double, Double Ski Hat</li> <li>Lined Ski Hat</li> <li>Cap with Visor</li> </ul> </td> <td></td> <td> <ul> <li>Pleated Beret</li> <li>Crochet Button</li> <li><em>and more!</em></li> </ul> </td> </tr> </table> <p> </p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-422,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
let-s-knit-some-skirts,Let's Knit Some Skirts,"<p>From Jodie:</p> <p>""This time it is my purpose to help you knit some beautiful skirts to wear with your lovely sweaters. Most all these skirts are made only on the main bed of the knitting machine.""</p> <p>From Sue:</p> <p>Even though the photos in this book are dated, the skirt shapes and knitting techniques are <b>timeless and invaluable!</b></p> <p>Includes:</p> <ul> <li>Measuring for a skirt</li> <li>Random Thoughts and Tips</li> <li>Waistbands</li> <li>Hems and more Hems</li> <li>4 Gore Skirt</li> <li>2 Gore Upside Down Skirt</li> <li>3 Gore Skirt</li> <li>Circular Skirt</li> <li>and more!</li> </ul> <p>55 pages</p> NOTE: This digital book is large. If you are having trouble downloading try using downloading Skirts Part 1 and Skirts Part 2 separately.",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-427,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
jodi-s-favorite-demos-volume-1,Jodi's Favorite Demos Volume 1,"<p>From Jodie:</p> <p>""So often at seminars there are many knitters desperately trying to watch demonstrations, take intelligent notes, or tape the proceedings - only to find when they return home the tape did not record, or the notes made no sense whatsoever. And, being so busy trying to capture the material, they didn't have a chance to see all the things the instructor was showing. How frustrating. Have you been there?""</p> <p>This book includes many detailed handouts that Jodie used over the years. Even though the photos are dated, the book is <span style=""color: #3366ff;""><strong>chock full of timeless information</strong></span> for both hand and machine knitters.</p> <p>Included:</p> <ul> <li>Bobbin Weaving (Intarsia) detailed instructions</li> <li>Isolated and Alphabet Knitting</li> <li>Sport Towel with Graphic DesignsBlock Alphabet Graph (vertical and horizontal)</li> <li>International Signal Flag code graph</li> <li>Script Alphabet and Slanted Script Graphs</li> <li>Fingertip Towel with Graphs</li> </ul> <p>56 Pages</p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br /><br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-428,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
jodi-s-favorite-demos-volume-2,Jodi's Favorite Demos Volume 2,"<p>From Jodie:<br />""For a long time the demonstrating of the Garter Bar has been one of my most popular presentations. Under this cover, you have the information given during these lectures. In addition, full illustrations are offered to assist you in mastering this necessary accessory to your knitting machine.""<br />Included:</p> <ul> <li>Using the Needle stopper Bar</li> <li>Speed Ripping</li> <li>Using the Garter Bar</li> <li>Transferring Stitches</li> <li>Holding stitches on sinker posts</li> <li>Multiple decreasing or increasing</li> <li>Transferring groups of stitches</li> <li>Vertical weaving and embroidery weaving</li> <li>The Diophantine Equation (Magic Formula) great information for both hand and machine knitters</li> </ul> <p>NOTE: The Diophanitine equation is re-written and updated in the Knit it Now series of tutorials on the subject. <a href=""http://www.knititnow.com/knititnow/content/classdetails.cfm?Classroom_id=20"" target=""_blank"">more..</a></p> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting. Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br /><br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-429,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
let-s-knit-some-blouses,Let's Knit Some Blouses,"<p>From Jodie:</p> <p>""Simply Beautiful! These are patterns for juniors, misses, and ladies. Included are easy step-by-step instructions and detailed diagrams""</p> <p>From Sue:</p> <p>Even though the images in this book are dated, the styles are timeless. The ""U"" neck top would be called a T shirt today.  The cowl neck design is so flattering, it never goes out of style. Replace the ribbing on these designs with hems or rolled edges for an easy update.</p> <p>Included:</p> <ul> <li>Cowl Neck Blouse</li> <li>Upright Dolman</li> <li>Lacy Sideways Dolman</li> <li>U-neck Blouse</li> <li>Upside down Peasant Blouse</li> <li>Lace stitch patterns</li> <li>Detailed instruction and comments by Jodi</li> <li>59 paages</li> </ul> <p><em>Well known, long time machine knitter, Jodie Raymond traveled extensively sharing her knowledge of machine knitting.  Known for her excellent finishing work and her clear instructions, Jodi authored 17 books in her long career.<br /><br />Knit it Now is honored to have purchased the publishing rights her books and is including her work in tutorials and patterns.</em></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-430,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
let-s-knit-some-jackets,Let's Knit Some Jackets,"<p>Three terrific jackets, plus a jewel neckline sleeveless shell to compliment your outfits. Easy to knit, timeless in style, comfortable to wear with such effortless care. Diagrams and written instructions are included. ""You will have to knit more than one!""</p> NOTE: This download is large, if you are having trouble, please use the Parts 1-3 downloads individually</br> <p>This is a 72 page book. The patterns are included, but the value of the book is instructional. It is chock full of detailed instruction for constructing the perfect jacket at any gauge.</p> <p>From Jodie:<br /> <em>""Many different modes, from the most casual look to a very<br />dressy haute couture fashion, can be easily achieved by your<br />choice of different yarns and patterning. Just by varying the<br />length of the jacket or sleeves, substituting trims, adding or<br />subtracting pockets - you can completely change the character of<br />each of these basic jackets. With just a little thought, these<br />garments periodically can be easily updated to the most current<br />fashion, allowing you to be able to use this book over and over<br />again for many years. Each jacket projects it's own distinctive<br />image.""</em></p> <div><a href=""#""><img src=""/contentlibrary/patternlibrary/thumbnails/jodi_jacket.jpg"" alt="""" border=""0"" /></a></div>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-432,14.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
cut-n-sew-neckline-template,Cut 'n Sew Neckline Template,"Printable templates for cut 'n sew necklines. From infant to adult sizes. Neck depths up to 7"" (18cm). Create a perfectly shaped neckline every time!</p> <p>Cut 'n Sew necklines are easy and fast!<ul> <li>Knit your garment with no neckline shaping.</li> <li>Select a template for the desired neckline width and depth.</li> <li>Use the template to mark the shape</li> <li>Machine stitch along the marks to secure the edge</li> <li>Cut your neck opening</li> <li>Use an ""industrial"" band to neatly hide the cut edges.</li> <li>Both Letter (US) and A4 (Metric) versions are included</li> </ul> </p> <p><strong>BONUS!</strong></p> <p>PDF template includes links to the <a href=""http://www.knititnow.com/learn/tutorial/249/introduction-to-cut-and-sew"">Introduction to Cut 'n Sew tutorial</a>, including a demonstration of a basic industrial band. (no membership needed)</p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-474,5.00,,0,deny,manual,FALSE,TRUE,,,FALSE,active
machine-knitting-trims-and-edges-double-bed,Machine Knitting Trims and Edges - Double Bed,"<p><strong>Downloadable PDF Version</strong><br /> Beautiful double bed trims and edges for Japanese machines. Dress up your knitting!</p> <ul> <li>24 double bed techniques</li> <li>Updated with full color photos</li> <li>Clear Charts and diagrams</li> <li>Searchable</li> </ul> <p>This updated book is based on Bonnie Triola's original 101 Trims and Edges book. It contains double bed techniques only.</p> <p><br /><em><small><a href=""https://www.knititnow.com/store/product/505/machine-knitting-trims-and-edges-single-bed-pdf/digitialdownload"">Single Bed Version here</a></small></em><br /></p> <p> </p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-502,18.99,,0,deny,manual,FALSE,TRUE,,,FALSE,active
machine-knitting-trims-and-edges-single-bed,Machine Knitting Trims and Edges - Single Bed,"<p><strong>Downloadable PDF Version</strong><br /> Beautiful single bed trims and edges for Japanese machines. Dress up your knitting!</p> <ul> <li>53 single bed techniques (no ribber needed)</li> <li>Updated with full color photos</li> <li>Clear Charts and diagrams</li> <li>Includes color photos and instructions for basic techniques used</li> <li>Searchable</li> <li>111 pages</li> </ul> <p>This updated book is based on Bonnie Triola's original 101 Trims and Edges book. It contains single bed techniques only. Use any machine, no electronics are required.</p>  <a href=""/store/product/502/machine-knitting-trims-and-edges-double-bed-pdf/digitialdownload""><em><small>Double Bed version here</small></em></a>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-505,18.99,,0,deny,manual,FALSE,TRUE,,,FALSE,active
designer-pencil-skirts-for-machine-knitters,Designer Pencil Skirts for Machine Knitters,"<div class=""row""> <div class=""col-xs-12 col-sm-9"">  Machine knitters can quickly knit gorgeous skirts that rival designer styles in both price and custom fit! Master the tricks for professional finishes with this detailed book<br><br>Focusing on the simple shape of a pencil skirt, this exciting book <em><small>(published in 2013)</small></em> walks you through design ideas, construction techniques, fitting tips and professional finishing details.<br /><br /> The concepts can be applied to any style skirt and slacks.<br /><br /> Knit a simple 2 piece skirt in a weekend, or create a couture design, this book will give you the tools for success! </div>  <div class=""col-xs-12 col-sm-3"">  <h5>Interested in other skirt styles?</h5> <a href=""/store/product/427/lets-knit-some-skirts/digitialdownload""><img class=""img-responsive"" src=""/store/thumbnails/skirts_eBook_cover.gif""></a><br> <br><a href=""/store/product/680/the-ultimate-pleated-skirt-ebook/digitialdownload""> <img class=""img-responsive"" src=""http://www.knititnow.com/knititnow/store/thumbnails/cover12.jpg""></a> </div> </div> <div class=""row""> <div class=""col-xs-12""> <table> <tbody> <tr> <td> <ul> <li>Gores</li> <li>Shaping</li> <li>Waistbands</li> <li>Basic Hems</li> <li>Designer Hems</li> <li>Yarn Choices and Stitch Patterns</li> <li>Slits</li> <li>Measuring</li> <li>Chart Your Own Skirt</li> <li>44 pages</li> <li><strong>Ready for immediate download</strong></li> </ul> </td> <td> </td> <td align=""center""><a href=""http://www.knititnow.com/learn/series/28/skirts-and-slacks-10-Tutorial""><img src=""http://www.knititnow.com/images/blog_images/2013/subscriber_bonus.jpg"" border=""0"" /></a></td> </tr> </tbody> </table> <em>Learn more about skirts</em><br> <a href=""/classrooms/296/machine-knit-skirts"">Skirt Classroom</a>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-524,24.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
nursery-rhyme-knits-vol-2,Nursery Rhyme Knits Vol 2,"Treat your kids and grandkids to very special sweaters based on their favorite nursery rhymes.<br>Perfect for beginners, the book is stuffed full of tips and tricks for successfully knitting these sweaters. Easy knitting, the sweater styles are crew neck with drop shoulders. They are shown with ribbed neckbands, hems and cuffs.<br><br> <blockquote><em>Phyllis Waterhouse is a long-time machine knitter, knitwear designer, instructor and author. The photography may be dated, but her books are clear, easy to follow and stuffed full of helpful tips and tricks.  Her fun designs are sure to bring a smile!</em></blockquote><br><br>  <b>Includes:</b><br> <table> <tr> <td> <ul> <li>Kids sizes 2-14 (26"" - 37"" chest) <li>11 designs</li> <li>45 charts</li> <li><b>DAK files included</li> <li>Full Size Punchcard images</b></li> <li>90 pages</li> <li>READY FOR IMMEDATE DOWNLOAD</LI> </td> <td></td>  <td> <ul> <li>Polly Put the Kettle on</li> <li>Hey Diddle Diddle</li> <li>This Little Piggy</li> <li>Yankee Doodle Came to Town</li> <li>Ladybug, Ladybug, Fly Away Home</li> <li>Old Mother Hubbard</li> <li>Three Little Kittens</li> <li>Peter Peter Pumpkin Eater</li> <li>An Apple a Day</li> <li>Little Boy Blue</li> <li>Hen and Baby Chicks</li> </ul></td>  </tr> </table>  <a href="" /store/product/533/nursery-rhyme-knits-vol/digitialdownload "">More Nursery Rhyme Knits (Vol 1)</a>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-532,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
nursery-rhyme-knits-vol-1,Nursery Rhyme Knits Vol 1,"Treat your kids and grandkids to very special sweaters based on their favorite nursery rhymes.<br>Perfect for beginners, the book is stuffed full of tips and tricks for successfully knitting these sweaters. Easy knitting, the sweater styles are crew neck with drop shoulders. They are shown with ribbed neckbands, hems and cuffs.<br><br> <blockquote><em>Phyllis Waterhouse is a long-time machine knitter, knitwear designer, instructor and author. The photography may be dated, but her books are clear, easy to follow and stuffed full of helpful tips and tricks.  Her fun designs are sure to bring a smile!</em></blockquote><br><br> <b>Includes:</b><br> <table> <tr> <td> <ul> <li>Kids sizes 2-14 (26"" - 37"" chest) <li>11 designs</li> <li>40 charts</li> <li><b>DAK files included</li> <li>Full Size Punchcard images</b></li> <li>90 pages</li> <li>READY FOR IMMEDIATE DOWNLOAD</LI> </td> <td></td>  <td> <ul> <li>Mary had a Little Lamb</li> <li>Hickory Dickory Dock</li> <li>Jack Jumped Over the Candlestick</li> <li>Old Woman Who Lived in a Shoe</li> <li>Little Bo Peep</li> <li>Itsy Bitsy Spider</li> <li>Three Blind Mice</li> <li>Mother Goose</li> <li>Humpty Dumpty</li> <li>Leaping Little Frogs</li> <li>Little Miss Muffet</li> </ul> </td> </tr> </table>  <a href="" /store/product/532/nursery-rhyme-knits-vol/digitialdownload "">More Nursery Rhyme Knits (Vol 2)</a>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-533,9.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
sailing-with-the-garter-carriage,Sailing with the Garter Carriage,"Fire up your Garter Carriage and knit these 14 timeless, unisex, pullover patterns with a nautical theme. <table align = ""center""> <tr> <td>  <ul> <li>Drop Shoulder with crew neck style</li> <li>Sized from 44"" - 56"" finished bust</li> <li>Gauge 6 - 6.5 stitchs and 9-10 rows per inch</li> <li>75 pages</li> <li>Ready for IMMEDIATE DOWNLOAD</li> <li>45 stitch pattern included</li> <li>DAK files</li> </ul> </td> <td></td> <td> <ul> <Li> Tree of Life</li> <li> Diamonds</li> <li> Cables</li> <li>Hearts</li> <li>Boxes</li> <li>Anchor</li> <li>Zig Zags</li> <li>Starfish</li> <li>Ship</li>  </ul> </td> </tr> </table>  <br> NOTE: To use these stitch patterns, you will need to program your electronic machine or use the included DesignaKnit Files</br>  <em><small>Phyllis Waterhouse is a long-time machine knitter, knitwear designer, instructor and author. The photography may be dated, but her books are clear, easy to follow and stuffed full of helpful tips and tricks. </small></em>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-535,18.95,,0,deny,manual,FALSE,TRUE,,,FALSE,active
a-guide-to-knitting-with-yarn-on-cones,A Guide to Knitting with Yarn on Cones,"2/24, 3/8, 5/2 .... what do those numbers mean?<br><br> Take the mystery out of the yarn counts systems. This illustrated booklet will not only help you understand the numbers, but will show you how to compare yarns for knitting success. <br> <br> <div><img src=""/images/blog_images/2018/free_for_subscribers1.png""></div>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-589,4.99,,0,deny,manual,FALSE,TRUE,,,FALSE,active
decorative-raglan-seams-for-machine-knitters,Decorative Raglan Seams for Machine Knitters,"<p>Discover an unlimited number of decorative seam decreases for raglan sweaters. Mix and match techniques to create plain or fancy raglan seams.</p> <blockquote> <ul> <li>Simple Decreases</li> <li>Transferred Decreases</li> <li>Eyelet Decreases</li> <li>Fancy Decreases</li> <li>Seaming Tips</li> </ul> </blockquote> <p>Written instructions, charts, diagrams and knitted samples for each technique. <br /> <small><em>22 pages</em></small></p>",Knit it Now,Media > Books,eBook,"legacy-ebook, digital-download, machine-knitting",TRUE,Title,Default Title,legacy-ebook-675,14.99,,0,deny,manual,FALSE,TRUE,,,FALSE,active
