ChallengesID,CourseTitle,Challenge_Item_Id,LessonTitle,LessonOrder,Challenge_AssignID,BlockOrder,BlockType,BlockTitle,Challenge_componentID,ComponentOrder,ComponentType,details
50,LK-150 Quick Start,354,Welcome,1,3598,1,HTML,Ready to get Started?,5160,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='CHALLENGE_ASSIGNID'><string>3598</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='HTMLCONTENT'><string>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-6 col-xs-12""&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;br&gt;<char code='0d'/><char code='0a'/>If you are an experienced knitter or a ""newbie"" to machine knitting, this course is designed to introduce you to your machine, help you understand how it works and give you practice using it.&lt;br&gt;&lt;br&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-6 col-xs-12""&gt;&lt;div class='embed-video-container'&gt;&lt;iframe src='https://player.vimeo.com/video/347816973' frameborder='0' webkitAllowFullScreen mozallowfullscreen allowFullScreen&gt;&lt;/iframe&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;center&gt;&lt;img class=""img-responsive"" src=""/challenge/images/v2/54/don't-practice.gif""&gt;&lt;br&gt;&lt;br&gt;&lt;/center&gt;<char code='0d'/><char code='0a'/>Practice is the key word here.  Just watching videos won't get it done.  Schedule a bit of knitting time as often as you can to get more comfortable with your machine. &lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>Think of it as a tool.  When you learned to use a pencil it wasn't easy at first.  Easy as it looks, driving a car takes more than just pressing on the gas and the brake.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>Learning to machine knit is a combination of understanding your machine and mastering the techniques needed to create beautiful knitted items.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;h3&gt;We want you to have success!&lt;/h3&gt;<char code='0d'/><char code='0a'/>You are here because you want to learn more about your machine.&lt;br&gt;  Make the most of the material presented. It is organized to be followed step-by-step.  Work all the exercises and you will have a good foundation for taking the next steps on your machine knitting journey&lt;br&gt;&lt;br&gt;We've created a checklist to help keep you on track.<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/></string></var><var name='CHALLENGE_COMPONENTID'><string>5160</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,354,Welcome,1,3598,1,HTML,Ready to get Started?,5161,2,ContinueButton,"<wddxPacket version='1.0'><header/><data><struct ><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,LABLE</string></var><var name='LABLE'><string>Print the Checklist</string></var><var name='TYPEOF'><string>ContinueButton</string></var><var name='CHALLENGE_ASSIGNID'><string>3593</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,354,Welcome,1,3599,3,HTML,Print the Project Checklist,5162,1,Document,"<wddxPacket version='1.0'><header/><data><struct ><var name='LABLE'><string>Print the Checklist</string></var><var name='CHALLENGE_ASSIGNID'><string>3595</string></var><var name='SHOWVIEWER'><string>1</string></var><var name='DATAMODEL_ICON'><string>fa fa-download</string></var><var name='VIEWHEIGHT'><string>600</string></var><var name='FILENAME'><string>quickstart_checklist.pdf</string></var><var name='CHALLENGE_COMPONENTID'><string>5155</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,LABLE,DATAMODEL_ICON,VIEWHEIGHT,SHOWVIEWER,FILENAME</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3453,1,HTML,Yarn and Tension,4867,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='CHALLENGE_COMPONENTID'><string>4867</string></var><var name='CHALLENGE_ASSIGNID'><string>3453</string></var><var name='HTMLCONTENT'><string>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;div class=""col-sm-3 col-xs-12""&gt;<char code='0d'/><char code='0a'/>&lt;figure&gt;&lt;img class=""img-responsive"" src=""/challenge/images/v2/50/carriage_tension_dial.png""&gt;<char code='0d'/><char code='0a'/>&lt;figure&gt;<char code='0d'/><char code='0a'/>&lt;figcaption align=""center""&gt;&lt;br&gt;&lt;b&gt;Stitch Dial&lt;/b&gt;&lt;/figcaption&gt;<char code='0d'/><char code='0a'/>&lt;/figure&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-6 col-xs-12""&gt;<char code='0d'/><char code='0a'/>Another of the many features of the LK-150 is it's ability to knit a wide range of yarn weights.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>When you knit, the weight and drape of the resulting fabric is determined by the &lt;b&gt;Stitch Dial&lt;/b&gt; or &lt;b&gt;Tension Dial&lt;/b&gt;.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>These control the flow of the yarn through the carriage and the size of the resulting stitch.   If you are a hand knitter, think of it this way, a larger needle will produce a large stitch, and therefore a more open knitted fabric. Also the weight of the yarn impacts the size of the stitch and the finished appearance of the knitted fabric.&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;br&gt;<char code='0d'/><char code='0a'/>With the LK-150 you can use a fine yarn- think of a sock weight yarn. or a #1.  Because of the size of the hooks, the distance between the hooks and the setting of the tension dial, you can create very different fabrics  even in plain stockinette knitting.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>At the opposite end of the spectrum you can use a  medium #4 weight yarn and create a hand knit look.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>For heavier yarns, you even have the option of knitting over every other needle.<char code='0d'/><char code='0a'/>&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>Something to consider ... the size of the hook of the needle determines the thickest yarn you can use.  If you try to use a very bulky (or maybe a hand spun yarn) and it doesn't fit in the hooks of the needles, you'll be splitting the yarn and the stitches won't form properly.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;blockquote class=""blockquote_style""&gt;&lt;i class=""fa fa-lightbulb-o fa-2x aria-hidden=""true""&gt;&lt;/i&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;ul class=""lightlist"" style=""list-style:none;""&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Think of the &lt;b&gt;Carriage Stitch/Tension Dial&lt;/b&gt; as the hand knitting needle size.&lt;br&gt;&lt;br&gt;&lt;/li&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;li&gt;Think of the &lt;b&gt;Mast Tension Dial&lt;/b&gt; as the tension a hand knitter would apply to the yarn with her fingers&lt;/li&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/blockquote&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-3 col-xs-12""&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='09'/>&lt;figure&gt;&lt;img class=""img-thumbnail"" src=""/challenge/images/v2/50/Tension_mast_dial.jpg""&gt;<char code='0d'/><char code='0a'/>&lt;figcaption align=""center""&gt;&lt;br&gt;&lt;b&gt;Tension Dial&lt;/b&gt;&lt;/figcaption&gt;<char code='0d'/><char code='0a'/>&lt;/figure&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/></string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3464,2,HTML,Do you NEED yarn on cones?,4873,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='HTMLCONTENT'><string>&lt;blockquote class=""blockquote_style""&gt;Do you need yarn on cones?&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;h3&gt;NO!&lt;/h3&gt;As long as the yarn will flow smoothly and evenly into the machine, you can use it!&lt;/blockquote&gt;</string></var><var name='CHALLENGE_ASSIGNID'><string>3464</string></var><var name='TYPEOF'><string>HTML</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,HTMLCONTENT</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3464,2,HTML,Do you NEED yarn on cones?,4874,2,Imageslideshow,"<wddxPacket version='1.0'><header/><data><struct ><var name='SLIDESHOWAUDIO_13'><string></string></var><var name='SLIDESHOWIMAGE_2'><string>/lk_150/put_up3.jpg</string></var><var name='SLIDESHOWAUDIO_5'><string></string></var><var name='SLIDESHOWIMAGE_19'><string></string></var><var name='SLIDESHOWIMAGE_3'><string>/lk_150/put_up4.jpg</string></var><var name='SLIDESHOWIMAGE_12'><string></string></var><var name='SLIDESHOWCAPTION_16'><string></string></var><var name='SLIDESHOWCAPTION_15'><string></string></var><var name='SLIDESHOWAUDIO_18'><string></string></var><var name='SLIDESHOWCAPTION_2'><string>Center-pull ball from yarn manufacturer</string></var><var name='SLIDESHOWAUDIO_14'><string></string></var><var name='SLIDESHOWAUDIO_1'><string></string></var><var name='SLIDESHOWAUDIO_9'><string></string></var><var name='SLIDESHOWCAPTION_5'><string></string></var><var name='SLIDESHOWAUDIO_7'><string></string></var><var name='SLIDESHOWCAPTION_12'><string></string></var><var name='SLIDESHOWCAPTION_0'><string>Center-pull hand wound ball works great</string></var><var name='SLIDESHOWCAPTION_10'><string></string></var><var name='SLIDESHOWIMAGE_14'><string></string></var><var name='SLIDESHOWCAPTION_19'><string></string></var><var name='SLIDESHOWCAPTION_14'><string></string></var><var name='CHALLENGE_ASSIGNID'><string>3464</string></var><var name='SLIDESHOWCAPTION_9'><string></string></var><var name='SLIDESHOWIMAGE_4'><string>/lk_150/put_up5.jpg</string></var><var name='SLIDESHOWIMAGE_18'><string></string></var><var name='SLIDESHOWCAPTION_11'><string></string></var><var name='SLIDESHOWIMAGE_0'><string>/lk_150/put_up1.jpg</string></var><var name='SLIDESHOWIMAGE_15'><string></string></var><var name='SLIDESHOWIMAGE_11'><string></string></var><var name='SLIDESHOWIMAGE_9'><string></string></var><var name='SLIDESHOWCAPTION_17'><string></string></var><var name='SLIDESHOWCAPTION_1'><string>Center-pull hand wound cake from a ball winder</string></var><var name='SLIDESHOWCAPTION_13'><string></string></var><var name='SLIDESHOWAUDIO_16'><string></string></var><var name='SLIDESHOWCAPTION_6'><string></string></var><var name='SLIDESHOWAUDIO_17'><string></string></var><var name='SLIDESHOWAUDIO_0'><string></string></var><var name='SLIDESHOWAUDIO_10'><string></string></var><var name='PLAYAUDIO'><string>1</string></var><var name='TYPEOF'><string>Imageslideshow</string></var><var name='SLIDESHOWAUDIO_3'><string></string></var><var name='SLIDESHOWIMAGE_6'><string></string></var><var name='SLIDESHOWAUDIO_2'><string></string></var><var name='SLIDESHOWAUDIO_19'><string></string></var><var name='SLIDESHOWAUDIO_12'><string></string></var><var name='SLIDESHOWCAPTION_18'><string></string></var><var name='SLIDESHOWIMAGE_10'><string></string></var><var name='SLIDESHOWAUDIO_15'><string></string></var><var name='SLIDESHOWAUDIO_8'><string></string></var><var name='SLIDESHOWIMAGE_7'><string></string></var><var name='SLIDESHOWAUDIO_6'><string></string></var><var name='SLIDESHOWIMAGE_16'><string></string></var><var name='SLIDESHOWCAPTION_3'><string>If you can get them, cones work great ... plus fewer yarn ends to work in</string></var><var name='SLIDESHOWIMAGE_17'><string></string></var><var name='SLIDESHOWAUDIO_11'><string></string></var><var name='SLIDESHOWCAPTION_8'><string></string></var><var name='SLIDESHOWAUDIO_4'><string></string></var><var name='SLIDESHOWCAPTION_4'><string>Center-pull ball from yarn manufacturer</string></var><var name='SLIDESHOWIMAGE_13'><string></string></var><var name='SLIDESHOWIMAGE_1'><string>/lk_150/put_up2.jpg</string></var><var name='SLIDESHOWCAPTION_7'><string></string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,ENABLEAUDIO,PLAYAUDIO,SLIDESHOWIMAGE_0,SLIDESHOWAUDIO_0,SLIDESHOWCAPTION_0,SLIDESHOWIMAGE_1,SLIDESHOWAUDIO_1,SLIDESHOWCAPTION_1,SLIDESHOWIMAGE_2,SLIDESHOWAUDIO_2,SLIDESHOWCAPTION_2,SLIDESHOWIMAGE_3,SLIDESHOWAUDIO_3,SLIDESHOWCAPTION_3,SLIDESHOWIMAGE_4,SLIDESHOWAUDIO_4,SLIDESHOWCAPTION_4,SLIDESHOWIMAGE_5,SLIDESHOWAUDIO_5,SLIDESHOWCAPTION_5,SLIDESHOWIMAGE_6,SLIDESHOWAUDIO_6,SLIDESHOWCAPTION_6,SLIDESHOWIMAGE_7,SLIDESHOWAUDIO_7,SLIDESHOWCAPTION_7,SLIDESHOWIMAGE_8,SLIDESHOWAUDIO_8,SLIDESHOWCAPTION_8,SLIDESHOWIMAGE_9,SLIDESHOWAUDIO_9,SLIDESHOWCAPTION_9,SLIDESHOWIMAGE_10,SLIDESHOWAUDIO_10,SLIDESHOWCAPTION_10,SLIDESHOWIMAGE_11,SLIDESHOWAUDIO_11,SLIDESHOWCAPTION_11,SLIDESHOWIMAGE_12,SLIDESHOWAUDIO_12,SLIDESHOWCAPTION_12,SLIDESHOWIMAGE_13,SLIDESHOWAUDIO_13,SLIDESHOWCAPTION_13,SLIDESHOWIMAGE_14,SLIDESHOWAUDIO_14,SLIDESHOWCAPTION_14,SLIDESHOWIMAGE_15,SLIDESHOWAUDIO_15,SLIDESHOWCAPTION_15,SLIDESHOWIMAGE_16,SLIDESHOWAUDIO_16,SLIDESHOWCAPTION_16,SLIDESHOWIMAGE_17,SLIDESHOWAUDIO_17,SLIDESHOWCAPTION_17,SLIDESHOWIMAGE_18,SLIDESHOWAUDIO_18,SLIDESHOWCAPTION_18,SLIDESHOWIMAGE_19,SLIDESHOWAUDIO_19,SLIDESHOWCAPTION_19</string></var><var name='SLIDESHOWIMAGE_5'><string></string></var><var name='SLIDESHOWIMAGE_8'><string></string></var><var name='ENABLEAUDIO'><string>0</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3464,2,HTML,Do you NEED yarn on cones?,4875,3,Video,"<wddxPacket version='1.0'><header/><data><struct ><var name='TYPEOF'><string>Video</string></var><var name='CHALLENGE_ASSIGNID'><string>3464</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,LABLE,VIMEOID</string></var><var name='VIMEOID'><string>240407950|Need to Tink?</string></var><var name='LABLE'><string>&lt;i class='fa fa-youtube-play' aria-hidden='true'&gt;&lt;/i&gt; Re-using Yarn - AKA Spaghetti</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3465,3,HTML,Choose your yarn,4876,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='HTMLCONTENT'><string>&lt;center&gt;&lt;img class=""img-responsive"" src=""/challenge/images/v2/50/practice_is_not_wasting.gif""&gt;&lt;/center&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;div class=""row well""&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-3 col-xs-12""&gt;<char code='0d'/><char code='0a'/>For your practice, choose:&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;ul class=""lightlist"" style=""list-style:none;""&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Light Color&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Smooth (no boucle or fuzzy yarn)&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;#4 weight (light worsted)&lt;/li&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/ul&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-9 col-xs-12""&gt;We will play with different yarns in another lesson. For now, when you are first starting out we recommend choosing a light color, medium weight, smooth yarn. Most of the #3 - or #4 yarns that you can get at craft stores will be good for practice when you get started. &lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>Acrylic or acrylic blend are a great, affordable place to start.  If you have access to wool, even better.  Leave cotton and more expensive yarns aside when you are starting.<char code='0d'/><char code='0a'/>&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>We want you to concentrate on learning your machine without worrying that you are wasting yarn.  You will be working samples to hone your skills ... practice  makes perfect,  Practice is not wasting yarn!&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/> Once you get a little experience with your machine, you can use yarns from your stash and get creative with your yarn choices.  Taking baby steps is the best way to master your machine.&lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/></string></var><var name='CHALLENGE_COMPONENTID'><string>4876</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='CHALLENGE_ASSIGNID'><string>3465</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3452,4,HTML,Needle Positions,4868,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='CHALLENGE_COMPONENTID'><string>4868</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='HTMLCONTENT'><string>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>    &lt;div class=""col-sm-6 col-xs-12""&gt;Understanding the position of the needles as you knit is important to mastering your machine. The position of the needles as you are knitting creates stitch patterns and short row shaping.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-1 col-sm-offset-1 col-xs-12""&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-6 col-xs-12""&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;b&gt;A:&lt;/b&gt; Out of work position&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;B:&lt;/b&gt; Working position&lt;/br&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;C:&lt;/b&gt; Middle  Position&lt;/br&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;D:&lt;/b&gt; Hold position&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>        &lt;blockquote class=""blockquote_style""&gt;&lt;b&gt;It is the needle positions PLUS the settings of the levers on your carriage that control stitch patterning&lt;/b&gt;&lt;/blockquote&gt;<char code='0d'/><char code='0a'/>        &lt;br&gt; Stitch patterning is not covered in this course &lt;a href=""/challenge/34/course/master-lk-patterning"" data-toggle=""tooltip"" data-placement=""auto"" title=""Knit it Now LK-150 Stitch Pattern Course""&gt;&lt;i class=""fa fa-question-circle"" aria-hidden=""true""&gt;&lt;/i&gt;&lt;/a&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>. We will ONLY be working in stockinette. Unless otherwise instructed, the side levers will ALWAYS remain in this position&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>        &lt;center&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>            &lt;img class=""img-thumbnail"" src=""/challenge/images/v2/50/side_levers1.jpg""&gt;<char code='0d'/><char code='0a'/>        &lt;/center&gt;<char code='0d'/><char code='0a'/>    &lt;/div&gt;<char code='0d'/><char code='0a'/>    &lt;div class=""col-sm-6 col-xs-12""&gt;&lt;img class=""img-thumbnail"" src=""/challenge/images/v2/50/needle_positions.gif""&gt;&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>        &lt;h3&gt;The position of the needles is controlled in 2 ways:&lt;/h3&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>        &lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>            &lt;div class=""col-md-8 col-xs-12"" onclick=""$('#theanswer1').toggle()""&gt;<char code='0d'/><char code='0a'/>                &lt;img class=""img-responsive"" src=""/challenge/images/arrow1.png"" style=""float:left;padding-right:10px;""&gt; Manually positioning the needles by hand <char code='0d'/><char code='0a'/>            &lt;/div&gt;<char code='0d'/><char code='0a'/>        &lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>        &lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>            &lt;div class=""col-md-7 col-md-offset-1 col-xs-12"" id=""theanswer1"" style=""display:none""&gt;<char code='0d'/><char code='0a'/>                &lt;img class=""img-responsive"" src=""/challenge/images/v2/50/select_needles_1.jpg""&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>This is a 1x1 needle pusher to select every other needle&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;hr&gt;<char code='0d'/><char code='0a'/>            &lt;/div&gt;<char code='0d'/><char code='0a'/>        &lt;/div&gt;<char code='0d'/><char code='0a'/>        &lt;!-- *********************************--&gt;<char code='0d'/><char code='0a'/>        &lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>            &lt;div class=""col-md-8 col-xs-12"" onclick=""$('#theanswer2').toggle()""&gt;<char code='0d'/><char code='0a'/>                &lt;img class=""img-responsive"" src=""/challenge/images/arrow2.png"" style=""float:left;padding-right:10px;""&gt; Carriage Levers&lt;br&gt;<char code='0d'/><char code='0a'/> <char code='0d'/><char code='0a'/>            &lt;/div&gt;<char code='0d'/><char code='0a'/>        &lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>        &lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>            &lt;div class=""col-md-7 col-md-offset-1 col-xs-12"" id=""theanswer2"" style=""display:none""&gt;<char code='0d'/><char code='0a'/>Depending on the position of the needles, the carriage levers will automatically position the needles. &lt;br&gt;<char code='0d'/><char code='0a'/>                &lt;img class=""img-responsive"" src=""/challenge/images/v2/50/side_levers.jpg""&gt;<char code='0d'/><char code='0a'/>            &lt;/div&gt;<char code='0d'/><char code='0a'/>        &lt;/div&gt;<char code='0d'/><char code='0a'/>    &lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/></string></var><var name='CHALLENGE_ASSIGNID'><string>3452</string></var></struct></data></wddxPacket>"
50,LK-150 Quick Start,315,Yarn and A Bit More Tech,2,3462,5,HTML,Stitch Patterns,4869,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='HTMLCONTENT'><string>&lt;blockquote class=""blockquote_style""&gt;Tuck, Slip, Fairisle, Plaiting, Intarsia ...  the possibilities are endless with your machine! &lt;br&gt;&lt;br&gt;&lt;b&gt;But ... we are going to focus on the basics.&lt;/b&gt;&lt;br&gt;&lt;br&gt;  Once you master the basics, stitch patterning&lt;a href=""/challenge/34/course/master-lk-patterning"" data-toggle=""tooltip"" data-placement=""auto"" title=""Knit it Now LK-150 Stitch Pattern Course""&gt;&lt;i class=""fa fa-question-circle"" aria-hidden=""true""&gt;&lt;/i&gt;&lt;/a&gt;  will be a piece of cake!&lt;/blockquote&gt;<char code='0d'/><char code='0a'/></string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='CHALLENGE_ASSIGNID'><string>3462</string></var><var name='CHALLENGE_COMPONENTID'><string>4869</string></var></struct></data></wddxPacket>"
