ChallengesID,CourseTitle,Challenge_Item_Id,LessonTitle,LessonOrder,Challenge_AssignID,BlockOrder,BlockType,BlockTitle,Challenge_componentID,ComponentOrder,ComponentType,details
2,Not Enough Needles?,8,Introduction,1,70,1,HTML,Start Here,780,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='CHALLENGE_ASSIGNID'><string>70</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='HTMLCONTENT'><string>&lt;!--<char code='0d'/><char code='0a'/>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-md-4 col-xs-12""&gt;&lt;img width=""300"" class=""img-responsive"" src=""http://www.knititnow.com/challenge/images/not_enough_needles/110_needles.png""&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-md-4 col-xs-12""&gt;&lt;img width=""300"" class=""img-responsive"" src=""http://www.knititnow.com/challenge/images/not_enough_needles/150_needles.png""&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-md-4 col-xs-12""&gt;&lt;img class=""img-responsive"" src=""http://www.knititnow.com/challenge/images/not_enough_needles/200_needles_1.png""&gt;&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt; --&gt;<char code='0d'/><char code='0a'/>&lt;div class=""well""&gt;<char code='0d'/><char code='0a'/>Whether you are knitting a blanket or a plus size garment, you probably have discovered the fact that our knitting machines have a limited number of needles to work with. This means we can only knit pieces that are a limited size.&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>Unlike hand knitting, we can't use a longer cable needle and add more stitches.  We have to get creative to knit larger pieces on the machine.&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/>&lt;hr&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;This tool will calculate the widest piece of knitting you can create with YOUR machine (based on your gauge):&lt;/b&gt;&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/></string></var><var name='CHALLENGE_COMPONENTID'><string>780</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,8,Introduction,1,70,1,HTML,Start Here,5558,2,CustomCFM,"<wddxPacket version='1.0'><header/><data><struct ><var name='CUSTOMCFM'><string>Howmanyneedles.cfm</string></var><var name='TYPEOF'><string>CustomCFM</string></var><var name='CHALLENGE_ASSIGNID'><string>70</string></var><var name='JSONFILE'><string></string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,CUSTOMCFM,JSONFILE</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,8,Introduction,1,71,2,Video,Not Enough Needles?,45,1,Video,"<wddxPacket version='1.0'><header/><data><struct ><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,EXAMPLE_LENGTH,VIMEOID</string></var><var name='CHALLENGE_ASSIGNID'><string>71</string></var><var name='VIMEOID'><string>151859115|Not Enough Needles? - Tips for Plus Knitters</string></var><var name='EXAMPLE_LENGTH'><string>10</string></var><var name='TYPEOF'><string>Video</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,8,Introduction,1,71,2,Video,Not Enough Needles?,781,2,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='TYPEOF'><string>HTML</string></var><var name='CHALLENGE_ASSIGNID'><string>71</string></var><var name='HTMLCONTENT'><string>&lt;br&gt;&lt;br&gt;</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,HTMLCONTENT</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,8,Introduction,1,71,2,Video,Not Enough Needles?,46,3,Video,"<wddxPacket version='1.0'><header/><data><struct ><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,EXAMPLE_LENGTH,VIMEOID</string></var><var name='EXAMPLE_LENGTH'><string>10</string></var><var name='VIMEOID'><string>151859136|Not Enough Needles? Part 2</string></var><var name='TYPEOF'><string>Video</string></var><var name='CHALLENGE_ASSIGNID'><string>71</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,8,Introduction,1,4057,3,tools,Use the Knit it Now Tool,6152,1,tools,"<wddxPacket version='1.0'><header/><data><struct ><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,MAINCONTENT,TEXTCONTENT,TOOLBUTTON1,TOOLID_1,TOOLBUTTON2</string></var><var name='MAINCONTENT'><string>pull-left</string></var><var name='CHALLENGE_ASSIGNID'><string>4057</string></var><var name='TOOLID_1'><string>20</string></var><var name='TEXTCONTENT'><string>Based on your gauge, <char code='0d'/><char code='0a'/>how wide can you knit with <char code='0d'/><char code='0a'/>the needles available on your machine?&lt;br&gt;&lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;div class=""row""&gt;<char code='0d'/><char code='0a'/>&lt;div class=""col-sm-10 col-sm-offset-1 col-xs-12""&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>This is just one of the many Knit it Now charting tools available.&lt;br&gt;<char code='0d'/><char code='0a'/><char code='09'/>&lt;img class=""img-thumbnail"" src=""/challenge/images/v2/2/tools.jpg""&gt;<char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;<char code='0d'/><char code='0a'/></string></var><var name='CHALLENGE_COMPONENTID'><string>6152</string></var><var name='TOOLBUTTON1'><string>Max Knitted Width</string></var><var name='TOOLBUTTON2'><string></string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,7,Easy Solutions,2,72,1,Video,Compare Stitch patterns,47,1,Video,"<wddxPacket version='1.0'><header/><data><struct ><var name='VIMEOID'><string>151857740|Stitch Types and Yarn Usage </string></var><var name='EXAMPLE_LENGTH'><string>10</string></var><var name='CHALLENGE_ASSIGNID'><string>72</string></var><var name='TYPEOF'><string>Video</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,TYPEOF,EXAMPLE_LENGTH,VIMEOID</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,7,Easy Solutions,2,252,2,Practice,Stitch Pattern Practice,764,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='CHALLENGE_ASSIGNID'><string>252</string></var><var name='HTMLCONTENT'><string>&lt;blockquote class=""smallblock""&gt;&lt;small&gt;Stitches and rows shown are for standard machine &lt;em&gt;(Mid-gauge/bulky)&lt;/em&gt;&lt;/small&gt;&lt;/blockquote&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;Swatch 1:&lt;/b&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;ol class=”Instruction-list”&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Cast on 60 (30) stitches and knit in plain knitting for 60(30) rows&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Bind off loosely&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;/ol&gt;<char code='0d'/><char code='0a'/>&lt;b&gt;Swatch 2:&lt;/b&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Cast on 60 (30) stitches and knit in a tuck stitch knitting for 60(30) rows&lt;br&gt;&lt;small&gt;If you don't have an automatic patterning machine (punchcard or electronics)<char code='0d'/><char code='0a'/> follow your manual for manually creating a tuck or Pull-up stitch&lt;/small&gt;&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;li&gt;Bind off loosely&lt;/li&gt;<char code='0d'/><char code='0a'/>&lt;/ol&gt;<char code='0d'/><char code='0a'/>&lt;Br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>Compare and measure the 2 swatches - notice that both the width and length vary quite a bit.  Simply using a tuck stitch can sometimes solve the problem of not having enough needles to knit a piece.&lt;br&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;div class=""col-md-8 col-xs-12""&gt;&lt;img class=""img-thumbnail"" src="" http://www.knititnow.com/challenge/images/not_enough_needles/compare.jpg""&gt;<char code='0d'/><char code='0a'/><char code='0d'/><char code='0a'/>&lt;/div&gt;</string></var><var name='CHALLENGE_COMPONENTID'><string>764</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,7,Easy Solutions,2,252,2,Practice,Stitch Pattern Practice,765,2,ImageUpload,"<wddxPacket version='1.0'><header/><data><struct ><var name='BUTTONLABLE'><string>Upload Photos of your Practice Swatches&lt;br&gt;&lt;small&gt;They will be included in your Course Binder&lt;/small&gt;</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,ACTION,QTY,BUTTONLABLE,SUCCESSMESSAGE</string></var><var name='SUCCESSMESSAGE'><string>Got it!</string></var><var name='ACTION'><string>stitchPatternPractice</string></var><var name='CHALLENGE_COMPONENTID'><string>765</string></var><var name='CHALLENGE_ASSIGNID'><string>252</string></var><var name='QTY'><string>2</string></var></struct></data></wddxPacket>"
2,Not Enough Needles?,7,Easy Solutions,2,73,3,Video,Half Circular Knitting with the Ribber,782,1,HTML,"<wddxPacket version='1.0'><header/><data><struct ><var name='HTMLCONTENT'><string>If you have a ribber, you can utilize both beds. This is also called ""U"" knitting.&lt;br&gt;<char code='0d'/><char code='0a'/>But remember, on Japanese machines automatic stitch patterning only occurs on the main bed. This solution will produce a wide piece of plain stockinette knitting. &lt;br&gt;&lt;br&gt;<char code='0d'/><char code='0a'/>You can use a textured or variegated yarn ... or even stripes to jazz up the plain knitting and create a wide knitted piece - get creative!</string></var><var name='CHALLENGE_COMPONENTID'><string>782</string></var><var name='FIELDNAMES'><string>CHALLENGE_ASSIGNID,CHALLENGE_COMPONENTID,HTMLCONTENT</string></var><var name='CHALLENGE_ASSIGNID'><string>73</string></var></struct></data></wddxPacket>"
