ChallengesID,Title,Active
1,New test,0
2,Not Enough Needles?,1
3,DIY Blanket,1
4,Round Neck Shaping Practice,0
5,2 Hour Baby Cardigan,1
6,About Knit it Now Courses,0
7,Top Down Raglan Sweaters,1
9,Tuck Baby Trio,1
10,Knitting in Circles,1
11,Baby Pinafores,1
12,"Swatches, Tension and Gauge",1
13,One Piece Start to Finish Kids Cardigans,1
14,Christmas Tree Skirt,1
15,Set-in Sleeve Perfection,1
16,Asymmetric Swirl Shawlette,1
17,Knockoffs with DAK,0
18,2x2 Ribbing,1
20,Spring Mint,0
21,Neckline Shaping Practice,1
22,Mitten Magic,1
23,YES!! Knits that Fit!,1
24,Nothing Fits DRAFT,1
25,Use a Hand Knitting Pattern with Your Knitting Machine,1
26,Dragon Shawl,0
27,Seraina Summer Tee | Start to Finish,1
28,Fit Once ... Get Knitting!,1
29,Blanket Trio UPDATE,0
30,Christmas Stockings,0
31,Basic Socks,1
32,Fancy Socks,0
33,Beginner Workshop,1
34,Master LK-150 Patterning,1
35,100% Reversible Scarf,0
36,L'Enveloppe,1
37,Chevron DAK Challenge,0
38,Course snippets,0
39,Ribber Knit-along,1
40,Ribber Knit-Along 2,1
41,"5 day Cast On | Bind Off | Hem Challenge ",1
42,Soft Sideways Cardigan,1
43,V-Neck Deep Dive,0
44,Master Brother Knitting Machines,0
45,Sampler Block Blanket Challenge,1
47,Bonnie's One-Piece Cocoon,0
48,Socks Knit-Along,1
49,Summer Vacation,0
50,LK-150 Quick Start,1
51,LK-150 Fun,1
55,Top Down Raglan Collection,1
56,Mitten Collection Knitalong,1
58,3 Part Lace Workshop,1
59,Collar Collection,0
60,Triangle Scarf or Shawl,1
61,Paisley Jacket Instructions,0
63,Hat Challenge Links,1
64,Your 2nd Sweater,1
65,IK Pattern Links,1
66,Ribber Basic Bootcamp,1
67,Prickly Pear Knit-Along,1
68,Ear Flap Collection,1
69,DAK | Standard Garment Styling,0
70,DAK- Stitch Designer,0
71,Fearless Cut 'n Sew Finishing,1
72,Automatic Stitch Patterning,1
73,Cuff-to-Cuff Sweaters,1
75,Tools Pages,0
76,No Floats!,0
77,Neckbands and Collars,1
78,Success Path Modules,0
81,Poncho,1
82,Hand Knitting Patterns for Machine Knitting,1
83,Spott Assets,0
84,Machines,0
85,machines - LK-150,0
86,Taitexma TH/TR-160: Getting Started,1
87,Brother KH/KR-260 Quick Start,1
88,1000 Stitch Patterns,0
89,Crossover V-Neckband,1
90,The Challenge New!,0
91,Custom Christmas Stockings,1
92,Jump Start your Machine Knitting,0
93,Round Neck Finishing,1
94,Knit & Learn Level 1,0
95,Double Bed Jacquard,0
96,Taitexma TH/TR260 Quick Start,1
97,Brother KH/KR-230: Getting Started,1
98,Singer/Studio SK360,1
99,Round Neck Shaping Practice,1
100,Button Bands,1
101,Hand Knit Yoke Sweaters,1
102,SRp60N Ribber,0
103,Ultimate Brother 930/940 Workshop,1
104,XXXXXXX Brother KH940 Quick Start,0
105,Button Band Knit-Along,1
106,Mosaic Knitting,0
107,Socks on an LK-150,1
108,hat start-to-finish,0
109,Hats for Everybody Knit-Along,1
110,Slip Stitch Challenge,1
111,Mastering the Silver Reed SK840: A Comprehensive Course,1
112,Taitexma 860,0
113,Kickstart Graphics Studio,0
114,Singer Mod 155,0
115,Tuck Lace,0
116,Cut 'n Sew workshop,1
118,Beginner Core Skills Part 1,0
119,Skill Builder: Fairisle,1
120,Skill Builder: Buttons and Levers,0
121,Do this not that,0
122,Visual Knitting with the KR10: Design Without Numbers,1
123,Short Row Skill Builder,1
124,Skill builder: Fancy Hem,1
125,Skill Builder: Mock Ribbing,0
126,Quick Fingerless Mitts,0
128,Easy Does It Cowl,1
129,Watch Cap / Beanie,1
130,m_m template,0
131,No-Sew Color Blocks,1
132,Suzanna' s Blanket,0
133,Sweater Scarf,0
