MachineID_FK,Taxonomy,Category
209,Hold,Technique
209,Fairisle,Technique
209,Tuck,Technique
209,Slip/Skip,Technique
209,Thread/Punch-Lace,Technique
299,Hold,Technique
299,Fairisle,Technique
299,Tuck,Technique
299,Slip/Skip,Technique
299,Thread/Punch-Lace,Technique
299,Lace,Technique
325,Hold,Technique
325,Tuck,Technique
325,Slip/Skip,Technique
325,Intarsia,Technique
325,Plaiting,Technique
287,Hold,Technique
287,Fairisle,Technique
287,Tuck,Technique
287,Slip/Skip,Technique
287,Thread/Punch-Lace,Technique
287,Knit-Weave,Technique
362,Hold,Technique
362,Fairisle,Technique
362,Tuck,Technique
362,Slip/Skip,Technique
362,Thread/Punch-Lace,Technique
362,Knit-Weave,Technique
359,Plain,Technique
359,Slip/Skip,Technique
359,Hold,Technique
359,Plaiting,Technique
359,Tuck,Technique
359,Intarsia,Technique
210,Plain,Technique
210,Knit-Weave,Technique
210,Slip/Skip,Technique
210,Fairisle,Technique
210,Thread/Punch-Lace,Technique
210,Hold,Technique
210,Plaiting,Technique
210,Tuck,Technique
306,Plain,Technique
306,Knit-Weave,Technique
306,Slip/Skip,Technique
306,Fairisle,Technique
306,Lace,Technique
306,Thread/Punch-Lace,Technique
306,Hold,Technique
306,Plaiting,Technique
306,Tuck,Technique
290,Plain,Technique
290,Knit-Weave,Technique
290,Slip/Skip,Technique
290,Fairisle,Technique
290,Lace,Technique
290,Thread/Punch-Lace,Technique
290,Hold,Technique
290,Plaiting,Technique
290,Tuck,Technique
217,Plain,Technique
217,Knit-Weave,Technique
217,Slip/Skip,Technique
217,Fairisle,Technique
217,Lace,Technique
217,Hold,Technique
217,Tuck,Technique
253,Plain,Technique
253,Knit-Weave,Technique
253,Slip/Skip,Technique
253,Fairisle,Technique
253,Lace,Technique
253,Thread/Punch-Lace,Technique
253,Hold,Technique
253,Plaiting,Technique
253,Tuck,Technique
235,Plain,Technique
235,Knit-Weave,Technique
235,Slip/Skip,Technique
235,Fairisle,Technique
235,Lace,Technique
235,Thread/Punch-Lace,Technique
235,Hold,Technique
235,Plaiting,Technique
235,Tuck,Technique
235,Intarsia,Technique
208,Plain,Technique
208,Knit-Weave,Technique
208,Slip/Skip,Technique
208,Fairisle,Technique
208,Thread/Punch-Lace,Technique
208,Hold,Technique
208,Plaiting,Technique
208,Tuck,Technique
251,Plain,Technique
251,Knit-Weave,Technique
251,Slip/Skip,Technique
251,Fairisle,Technique
251,Lace,Technique
251,Hold,Technique
251,Tuck,Technique
220,Plain,Technique
220,Knit-Weave,Technique
220,Slip/Skip,Technique
220,Fairisle,Technique
220,Lace,Technique
220,Hold,Technique
220,Tuck,Technique
222,Plain,Technique
222,Knit-Weave,Technique
222,Slip/Skip,Technique
222,Fairisle,Technique
222,Lace,Technique
222,Thread/Punch-Lace,Technique
222,Hold,Technique
222,Plaiting,Technique
222,Tuck,Technique
222,Intarsia,Technique
228,Plain,Technique
228,Knit-Weave,Technique
228,Slip/Skip,Technique
228,Fairisle,Technique
